i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,40,39,177350,173221
1,46,40,214484,183930
2,44,39,215354,191630
3,40,40,185388,184732
4,44,40,198370,181670
5,44,36,197388,166332
6,48,43,212268,191769
7,46,42,210696,195468
8,46,41,203382,183509
9,56,52,254736,232678
10,34,33,163336,158440
11,40,40,173850,173326
12,38,36,185210,172982
13,44,41,193072,179352
14,34,29,164760,143690
15,38,36,170190,162061
16,48,41,225676,191277
17,42,42,179694,178316
18,54,43,236056,191345
19,36,31,175330,156172
20,48,45,197578,186772
21,38,35,187544,173109
22,42,37,193878,169273
23,44,39,198872,179461
24,34,33,154228,149842
25,50,47,228000,211061
26,40,38,196344,187767
27,46,46,220700,219734
28,46,41,228762,203071
29,40,34,191334,167429
30,34,29,155112,134499
31,38,38,190162,189602
32,40,38,186834,172403
33,44,38,222000,194398
34,38,35,177480,165041
35,40,38,188456,180692
36,38,38,175588,175032
37,42,42,195448,194178
38,42,42,184028,183502
39,44,40,206490,189706
40,46,42,212550,191258
41,46,42,214688,197559
42,46,41,216580,189388
43,46,38,218118,186119
44,38,36,166226,157426
45,52,47,256018,228368
46,42,36,202456,173885
47,38,35,174422,163042
48,48,45,202978,190446
49,56,43,248026,192581
50,50,45,220304,200863
51,56,48,251712,217897
52,46,44,212358,204030
53,38,38,169214,168666
54,42,40,180888,172787
55,42,40,179568,171483
56,48,45,203098,189306
57,50,44,213334,190641
58,52,46,228610,203643
59,52,48,220882,204997
60,46,35,194726,151004
61,44,42,194314,185938
62,42,38,183502,167646
63,46,39,197166,169168
64,40,39,164046,159721
65,46,41,192432,171464
66,38,31,165874,136804
67,36,31,169464,148818
68,44,42,193354,185175
69,42,37,171608,150979
70,46,45,196296,188952
71,46,42,209290,192811
72,28,27,128412,124225
73,44,44,191064,190340
74,42,39,173960,161699
75,40,38,188014,179046
76,44,41,183328,169693
77,44,37,184222,153691
78,48,41,219504,190353
79,46,41,201812,182961
80,40,39,197824,193383
81,40,36,179928,164546
82,40,39,169562,164771
83,40,38,158032,149696
84,48,44,213936,195090
85,44,40,195122,176446
86,44,42,198330,189172
87,44,43,201270,196594
88,48,45,205230,193304
89,44,37,197700,166790
90,40,39,175776,170875
91,48,45,217816,204933
92,40,34,175686,151045
93,42,42,179962,179382
94,52,41,234140,186196
95,46,43,206370,191730
96,50,42,193624,164092
97,46,45,179668,175055
98,44,41,182082,169877
99,48,39,198814,163462
100,42,40,161506,153705
101,40,39,161162,156769
102,46,45,187432,183166
103,38,37,153358,148953
104,42,41,152878,148807
105,40,38,162570,154463
106,44,40,182362,166969
107,50,48,200916,192592
108,44,39,166032,143392
109,52,45,216722,182955
110,42,40,166126,158570
111,48,47,200058,195645
