i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,22,22,94196,93937
1,36,36,147078,146794
2,24,24,106543,106208
3,31,31,138145,137845
4,30,30,122895,122240
5,29,29,117718,117452
6,21,21,87749,87462
7,36,36,151497,151161
8,21,21,87501,87204
9,22,22,94176,93847
10,37,37,148594,148322
11,36,36,146797,146526
12,30,30,121401,121083
13,29,29,119101,118821
14,28,28,119767,119449
15,24,24,102705,102420
16,25,25,106276,105961
17,20,20,80091,79829
18,39,39,158907,158637
19,29,29,124787,124495
20,21,21,87930,87640
21,21,21,89658,89318
22,40,40,162385,161942
23,30,30,131883,131597
24,22,22,91526,91256
25,27,27,117670,117347
26,39,39,165313,164942
27,32,32,137584,137083
28,39,39,164650,164350
29,30,30,126617,126224
30,25,25,109126,108834
31,23,23,102346,102065
32,28,28,121955,121669
33,27,27,117965,117616
34,39,39,163203,162755
35,29,29,122554,122293
36,31,31,128105,127830
37,30,30,128534,128092
38,22,22,89108,88734
39,20,20,85891,85647
40,37,37,151925,151636
41,37,37,150866,150482
42,32,32,136487,136112
43,28,28,123436,122901
44,24,24,106157,105823
45,27,27,118301,117903
46,35,35,142891,142605
47,38,38,156147,155460
48,34,34,133661,133390
49,24,24,96084,95790
50,35,35,141603,141327
51,20,20,81343,81125
52,30,30,120875,120561
53,24,24,99937,99625
54,37,37,149435,149111
55,33,33,130761,130468
56,35,35,140230,139956
57,38,38,156741,156463
58,28,28,117054,116741
59,39,39,149298,149025
60,29,29,122203,121900
61,24,24,105939,105581
62,24,24,98587,98296
63,32,32,135270,134853
64,31,31,124963,124650
65,35,35,141540,141229
66,32,32,133895,133574
67,29,29,118565,118320
68,36,36,146973,146701
69,28,28,114584,114315
70,25,25,101457,101150
71,22,22,93400,93128
72,23,23,93986,93681
73,35,35,144156,143838
74,33,33,129023,128718
75,35,35,138405,138108
76,24,24,100287,100013
77,38,38,151706,151434
78,36,36,140840,140575
79,30,30,118055,117276
80,40,40,155711,155447
81,22,22,90834,90554
82,22,22,90522,90191
83,33,33,132336,132059
84,40,40,157875,157557
85,25,25,99776,99468
86,32,32,124496,124231
87,25,25,99591,99303
88,27,27,110452,110055
89,24,24,98422,98123
90,20,20,81754,81497
91,20,20,80027,79704
92,20,20,79581,79315
93,35,35,137857,137567
94,38,38,150609,150297
95,40,40,160696,160397
96,21,21,87550,87232
97,25,25,96614,96331
98,26,26,100535,100264
99,35,35,129787,129498
100,39,39,148273,147974
101,29,29,112645,112327
102,20,20,79719,79413
103,33,33,128733,128442
104,30,30,111626,111334
105,40,40,152755,152438
106,40,40,152615,152307
107,22,22,85140,84782
108,33,33,122649,122321
109,35,35,140541,140213
110,31,31,120665,120314
111,30,30,110846,110525
112,40,40,152683,152386
113,23,23,89182,88830
114,38,38,146116,145798
115,26,26,96693,96420
116,28,28,107907,107592
117,34,34,135973,135695
118,38,38,144029,143705
119,29,29,109566,109267
120,31,31,116859,116588
121,20,20,74008,73602
122,33,33,121686,121258
123,31,31,117629,117324
124,33,33,125575,125203
125,30,30,116154,115873
126,25,25,96017,95567
127,37,37,144492,144157
128,21,21,77597,77333
129,23,23,86037,85684
130,38,38,145092,144744
131,36,36,137737,137355
132,32,32,119155,118798
133,37,37,141849,141467
134,22,22,85805,85519
135,21,21,85027,84665
136,36,36,139564,139239
137,30,30,121105,120826
138,40,40,150792,150466
139,37,37,138829,138564
140,31,31,122335,122000
141,27,27,104704,104397
142,29,29,108687,108382
143,36,36,138612,138262
144,39,39,150733,150434
145,31,31,120366,120083
146,37,37,144180,143675
147,28,28,118602,118211
148,29,29,112178,111903
149,29,29,110681,110410
150,40,40,159611,159281
151,30,30,118016,117687
152,35,35,137987,137681
153,40,40,152824,152560
154,28,28,104844,104505
155,21,21,80486,80181
156,20,20,71704,71313
157,22,22,81972,81667
158,29,29,114793,114516
159,22,22,88034,87713
160,32,32,120043,119775
161,32,32,126313,125983
162,22,22,85554,85279
163,28,28,107736,107440
164,21,21,77995,77708
165,28,28,110726,110509
166,31,31,122527,122242
167,23,23,91009,90703
168,39,39,151806,151459
169,22,22,85071,84752
170,38,38,156487,156144
171,34,34,133238,132925
172,38,38,155496,155170
173,37,37,143374,143115
174,39,39,151749,151460
175,34,34,128258,127993
176,23,23,88501,88314
177,34,34,130441,130171
178,21,21,83359,83069
179,31,31,121748,121379
180,30,30,115920,115551
181,29,29,117722,117386
182,29,29,111473,111104
183,26,26,106182,105895
184,29,29,116088,115841
185,39,39,149793,149521
186,30,30,117788,117510
187,28,28,108835,108540
188,24,24,96516,96219
189,26,26,96916,96616
190,29,29,108704,108425
191,24,24,91791,91492
192,20,20,80766,80488
193,28,28,113166,112873
194,36,36,138833,138533
195,35,35,137606,137231
196,27,27,103761,103463
197,22,22,90357,90035
198,37,37,134079,133808
199,21,21,85614,85323
200,23,23,93951,93600
201,30,30,119508,119240
202,33,33,129294,129025
203,36,36,141577,141238
204,31,31,117836,117523
205,30,30,118950,118651
206,33,33,125778,125334
207,22,22,87624,87327
208,36,36,138964,138640
209,29,29,114204,113931
210,23,23,87084,86796
211,24,24,92030,91522
212,37,37,144570,144293
213,37,37,141719,141298
214,29,29,118155,117841
215,25,25,108070,107720
216,36,36,139942,139672
217,28,28,116295,115942
218,29,29,116145,115821
219,30,30,120838,120540
220,20,20,80016,79697
221,34,34,132815,132401
222,20,20,76718,76461
223,25,25,97955,97641
224,30,30,118531,118222
225,24,24,99211,98876
226,33,33,125111,124831
227,26,26,102608,102175
228,26,26,97171,96878
229,30,30,112363,112074
230,24,24,88232,87947
231,35,35,135032,134546
232,29,29,109465,109180
233,36,36,142209,141935
234,20,20,75951,75659
235,35,35,137483,137179
236,26,26,100587,100301
237,22,22,93633,93167
238,34,34,141768,141450
239,21,21,77492,77204
240,30,30,116711,116383
241,27,27,104951,104641
242,38,38,148732,148440
243,27,27,108399,108071
244,35,35,135598,135275
245,40,40,150998,150684
246,35,35,137153,136891
247,29,29,113806,113515
248,29,29,118274,117953
249,21,21,83120,82803
250,28,28,108412,108132
251,29,29,116726,116337
252,26,26,102611,102302
253,36,36,136630,136341
254,36,36,141486,141214
255,33,33,128404,128097
256,31,31,122647,122258
257,38,38,144729,144424
258,21,21,79896,79626
259,26,26,102570,102213
260,26,26,97484,97184
261,24,24,91528,91234
262,21,21,84804,84489
263,29,29,109287,109000
264,23,23,91990,91705
265,26,26,106524,106127
266,33,33,131714,131391
267,34,34,128589,128287
268,32,32,128512,128215
269,26,26,98892,98423
270,31,31,119280,118948
271,26,26,101223,100891
272,39,39,146768,146502
273,22,22,89637,89363
274,32,32,119712,119457
275,31,31,124296,123979
276,28,28,106443,106156
277,27,27,108148,107732
278,36,36,138773,138448
279,21,21,88309,88017
280,25,25,100589,100297
281,37,37,140009,139741
282,36,36,137165,136770
283,26,26,102172,101808
284,22,22,89015,88702
285,33,33,124231,123831
286,22,22,94568,94170
287,28,28,106166,105864
288,26,26,102144,101859
289,38,38,143529,142978
290,32,32,126931,126628
291,31,31,118683,118426
292,28,28,118522,118271
293,37,37,142383,142109
294,39,39,147136,146819
295,34,34,129994,129637
296,33,33,126731,126404
297,29,29,114824,114567
298,27,27,107977,107561
299,32,32,126837,126519
300,38,38,150797,150513
301,33,33,134168,133634
302,25,25,96701,96365
303,30,30,120165,119843
304,32,32,121775,121487
305,32,32,116053,115764
306,23,23,86591,86305
307,32,32,121341,121027
308,22,22,90750,90470
309,21,21,79965,79701
310,24,24,88097,87786
311,22,22,86101,85810
312,24,24,94613,94313
313,38,38,148478,148135
314,39,39,150521,150213
315,29,29,114911,114638
316,27,27,102247,101924
317,30,30,114157,113867
318,37,37,138870,138546
319,32,32,123443,123121
320,29,29,110740,110390
321,39,39,150712,150448
322,28,28,106972,106647
323,25,25,92876,92542
324,26,26,104674,104350
325,37,37,140706,140322
326,27,27,102214,101948
327,38,38,143998,143736
328,25,25,96932,96593
329,20,20,80031,79744
330,38,38,143955,143547
331,28,28,111474,111194
332,30,30,114767,114505
333,36,36,139869,139576
334,33,33,131298,131019
335,35,35,129824,129551
336,27,27,106142,105854
337,37,37,136638,136328
338,31,31,116105,115826
339,28,28,106801,106513
340,40,40,153436,153156
341,35,35,134375,133983
342,34,34,141460,141145
343,28,28,114203,113862
344,30,30,114314,114021
345,28,28,95954,95680
346,34,34,125700,125426
347,39,39,141295,141013
348,21,21,87860,87461
349,31,31,119303,118984
350,31,31,124098,123826
351,36,36,142327,142014
352,28,28,110155,109788
353,24,24,97400,97069
354,23,23,91497,91228
355,40,40,156336,156066
356,20,20,79210,78892
357,39,39,149467,149145
358,37,37,146455,146164
359,25,25,97495,97178
360,32,32,123055,122760
