i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,23,23,117470,116859
1,9,9,48030,47738
2,8,8,43492,43190
3,3,3,21977,21169
4,6,6,33950,33539
5,17,17,81011,80607
6,11,11,57517,57202
7,8,8,47131,46806
8,7,7,37357,36987
9,6,6,34915,34552
10,19,19,88555,88257
11,6,6,36076,35675
12,9,9,47586,47293
13,12,12,64158,63888
14,5,5,30351,29994
15,12,12,61279,60402
16,9,9,52793,52412
17,10,10,50485,50201
18,10,10,55313,54664
19,7,7,41381,41000
20,8,8,44325,44053
21,5,5,29908,29491
22,18,18,91414,91129
23,21,21,101429,101125
24,5,5,28148,27886
25,5,5,30839,30226
26,8,8,45127,44808
27,10,10,55606,55049
28,9,9,49052,48721
29,7,7,39662,38945
30,3,3,17968,17169
31,9,9,49233,48485
32,9,9,50594,50295
33,15,15,79101,78811
34,7,7,43282,42700
35,14,14,75647,75069
36,17,17,86567,86297
37,12,12,64804,64479
38,13,13,63525,63050
39,16,16,80710,79947
40,19,19,91979,91577
41,10,10,53148,52810
42,17,17,82058,81664
43,19,19,96270,95625
44,25,25,117571,117269
45,3,3,22940,22388
46,17,17,83219,82913
47,19,19,93227,92437
48,8,8,41102,40674
49,6,6,36135,35550
50,6,6,32391,31784
51,6,6,33845,33096
52,16,16,73981,73682
53,21,21,89656,89365
54,9,9,45042,44721
55,11,11,49202,48578
56,11,11,54838,54530
57,14,14,66483,66214
58,9,9,49062,48759
59,10,10,49623,49337
60,5,5,24478,24172
61,28,28,120746,120424
62,12,12,51835,51551
63,16,16,72945,72587
64,16,16,77478,76946
65,12,12,55625,55186
66,25,25,108712,108358
67,7,7,35908,35572
68,16,16,77775,77173
69,21,21,96048,95711
70,4,4,25546,25231
71,21,21,92608,92326
72,16,16,69521,69114
73,4,4,22160,21472
74,12,12,54529,54167
75,12,12,57208,56933
76,8,8,41751,41031
77,12,12,57582,57241
78,11,11,45714,44790
79,3,3,16655,16087
80,2,2,12929,12123
81,6,6,31834,31169
82,7,7,33439,32793
83,14,14,68134,67738
84,16,16,81508,81183
85,7,7,28258,27922
86,12,12,60903,60553
87,17,17,67172,66359
88,12,12,55522,55220
89,14,14,62917,62627
90,11,11,39470,39210
91,5,5,18983,18707
92,7,7,33679,33374
93,21,21,95518,94937
94,11,11,50835,50511
95,8,8,36663,36372
96,13,13,55872,55474
97,11,11,46539,46202
98,7,7,38436,38197
99,3,3,20174,19492
100,8,8,38042,37415
101,4,4,19620,19321
102,8,8,31489,31220
103,6,6,24107,23822
104,9,9,41646,41281
105,14,14,64895,64595
106,12,12,54971,54685
107,14,14,57857,57567
108,8,8,35933,35565
109,9,9,38173,37888
110,24,24,106540,105858
111,8,8,34549,34251
112,21,21,81651,81352
113,10,10,41027,40733
114,7,7,27089,26779
115,14,14,63504,63243
116,12,12,53454,53178
117,10,10,41801,41496
118,12,12,46969,46649
119,16,16,65781,65453
120,10,10,41648,41352
121,3,3,14001,13205
122,20,20,81031,80737
123,4,4,18539,18202
124,16,16,72250,71968
125,17,17,67577,67280
126,10,10,42956,42684
127,12,12,56721,56435
128,7,7,31501,31219
129,4,4,18254,17992
130,1,1,7551,6812
