i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,704,347,3928608,2070894
1,768,409,4473824,2441333
2,800,374,4444448,2252497
3,1024,429,5575936,2442111
4,960,414,5684256,2467175
5,800,364,4483648,2169362
6,800,347,4797824,2137962
7,928,390,5408896,2357615
8,576,320,3186208,1796493
9,704,344,4016576,2089933
10,672,354,3759648,2078369
11,992,459,5611520,2696648
12,736,389,4279392,2304724
13,992,354,5205600,2063612
14,736,368,4202528,2234891
15,864,364,4461248,2151044
16,864,370,5062496,2254275
17,1056,376,5499328,2073117
18,1280,414,6718336,2385788
19,992,391,5080832,2259113
20,1056,425,5426176,2456186
21,960,362,5141920,2205190
22,800,364,4371776,2150612
23,896,366,4774784,2144851
24,864,387,4910400,2291878
25,1024,358,5696224,2136669
26,960,364,5509760,2223769
27,672,320,3814720,1889248
28,768,351,4294112,2111481
29,768,406,4458880,2371614
30,864,418,5331648,2628209
31,1088,406,6395648,2489302
32,672,334,3883584,2064045
33,640,345,3754688,2105828
34,928,425,5137568,2522553
35,1024,407,5573856,2360661
36,1088,325,5932192,1920142
37,928,411,4899072,2394559
38,704,344,4068576,2079802
39,928,388,5059232,2250115
40,1088,440,6100064,2572566
41,896,373,4708512,2180835
42,704,390,3975840,2347232
43,864,341,4583840,1954899
44,864,394,4637280,2248481
45,1056,353,5820384,2054962
46,608,342,3531616,2062296
47,1056,370,5975744,2221857
48,864,411,4914912,2358119
49,832,387,4634688,2086560
50,1024,352,5597792,1970961
51,1120,370,6099968,2218013
52,736,339,4424032,2217597
53,768,384,4242368,2271526
54,832,378,4923488,2430079
55,1088,435,5554624,2469126
56,864,344,4860416,2174066
57,896,357,4816832,1998083
58,896,356,4722016,2091618
59,800,408,4505696,2426314
60,832,414,4254432,2216046
61,1152,478,6354816,2882696
62,832,354,4657984,2027406
63,928,387,4994624,2107191
64,640,307,3542048,1836564
65,800,323,4575744,1860119
66,704,293,4115648,1887437
67,928,408,5185088,2443367
68,1088,387,5595392,2074805
69,864,361,5022624,2249529
70,768,381,4369792,2151362
71,704,306,4036160,1923343
72,992,357,5800224,2330072
73,736,355,3975104,2050479
74,1216,420,6456480,2249183
75,736,372,4024416,2093917
76,768,367,4466208,2265158
77,768,359,4147040,2008867
78,736,332,4541280,2373383
79,896,382,4772480,2100762
80,992,381,5548352,2154516
81,960,405,5166304,2223193
82,800,401,4394688,2397191
83,832,399,4741600,2297743
84,608,317,3297344,1707803
85,768,314,4339328,1804911
86,768,317,4014688,1828282
87,640,326,3442144,1933220
88,864,304,4457088,1672167
89,800,367,4566880,2092641
90,800,390,4476288,2188286
91,640,311,3329120,1705644
92,800,299,4349760,1693726
93,928,381,5026720,2060889
94,800,346,4499808,1905633
95,928,404,4941888,2149910
96,960,374,5236640,2224754
97,1056,354,5680864,2136746
98,800,331,4479584,1946981
99,800,365,4344832,1952931
100,928,394,5342240,2340786
101,960,378,5609024,2237094
102,832,334,4753152,1984493
103,768,304,4384992,1838297
104,1056,380,6312576,2499305
105,960,366,5064288,1999157
106,1024,332,5685600,2027917
107,576,312,3450144,1903179
108,832,385,4487872,2097389
109,704,343,3983040,1887384
110,768,316,4215616,1753016
111,800,372,4565120,2248662
112,1024,363,5711872,2236103
113,896,323,5058144,1949620
114,768,356,4050848,2009574
115,1024,315,5248544,1777500
116,1088,361,5989280,2224571
117,800,355,4993344,2357247
118,1152,397,6227552,2470207
119,832,358,4501056,1918275
120,800,409,4519200,2480243
121,704,320,3933824,1799639
122,1152,372,6190144,2273338
123,928,466,4666016,2505910
124,736,333,3648192,1719629
125,960,398,5546272,2480317
126,896,372,4999872,2141649
127,608,330,3335904,1843923
128,832,320,4649792,1806668
129,1312,387,6946560,2143878
130,704,354,3831808,2024981
131,768,366,4260224,2002170
132,672,368,3845088,2054881
133,736,295,3913760,1645305
134,736,363,4045248,2168692
135,832,363,4512864,2038205
136,1056,417,5854176,2353895
137,1024,405,5382624,2229408
138,960,374,4987392,2012776
139,800,333,4301472,1888718
140,1088,428,5712256,2361542
141,896,381,5300288,2247057
142,576,324,3226912,1858830
143,704,337,4189952,2022038
144,1120,371,5950880,1990053
145,736,341,4183712,1996491
146,832,327,4675520,1784870
147,640,344,3914336,2205453
148,736,374,4460032,2354923
149,800,377,4856832,2205811
150,1152,421,6611040,2651642
151,1088,412,6164384,2507379
152,800,368,4368000,2148703
153,864,379,5064288,2217348
154,896,389,4789280,2068418
155,672,320,3535392,1773232
156,736,383,4341344,2312879
157,800,323,4126336,1765177
158,864,400,4985792,2450544
159,1024,420,5546208,2540677
160,896,343,4949632,1925826
161,576,297,3048160,1647185
162,992,376,5212032,2195143
163,736,381,3932768,2081636
164,800,431,4252384,2167796
165,640,310,3459008,1764409
166,864,405,4661600,2272529
167,832,321,4587104,1738625
168,704,360,3704960,2012771
169,928,401,5202208,2504620
170,960,372,4960736,2063565
171,832,413,4791008,2649550
172,672,392,3988544,2369076
173,864,317,4986560,1793256
174,896,411,5280320,2395696
175,800,351,4530368,2072917
176,960,375,5318464,2120090
177,832,337,4710208,2039554
178,832,383,4506848,2128522
179,896,341,4945920,1971661
180,928,391,4930496,2073497
181,1024,352,5916192,2173886
182,1344,324,6922656,1743770
183,992,357,5152224,1997507
184,736,404,4065536,2219112
185,928,390,5098688,2337147
186,1184,380,6495488,2106432
187,1184,417,6657760,2402771
188,928,385,5251168,2213362
189,800,370,4837184,2456071
190,800,383,4253952,2169620
191,992,393,5141120,2041234
192,960,402,5455360,2322082
193,928,376,5272992,2131792
194,800,384,4694432,2306845
195,704,373,4015456,2167570
196,640,330,3441920,1822794
197,1152,382,6340064,2211947
198,1056,369,5574912,2119256
199,1024,367,5479744,2115424
200,704,353,4169824,2221875
201,832,389,4996832,2477443
202,640,367,3853344,2298121
203,640,335,3634272,1911393
204,1216,381,6897376,2456223
205,992,410,5620288,2412914
206,864,356,4833792,2062674
207,928,410,5054624,2202436
208,896,363,5140352,2120586
209,736,354,4044256,2059684
210,640,331,3733056,1828327
211,928,403,4914112,2203010
212,928,377,5270880,2430566
213,1152,370,6294048,2092067
214,1056,417,6017824,2600231
215,736,359,4274912,2089210
216,896,405,4857920,2222948
217,1056,412,5482656,2141587
218,704,374,3931488,2061351
219,960,472,5357824,2593492
220,864,389,4816352,2363668
221,896,346,4994016,2097998
222,800,388,4547968,2153188
223,928,365,5146784,2267416
224,832,407,4731200,2384965
225,1120,363,5872320,1897593
226,704,305,4005536,1818255
227,896,412,4879936,2282396
228,960,397,5333184,2226253
229,832,419,4171392,2263381
230,928,417,4980288,2361793
231,640,345,3766688,2207471
232,800,389,4464064,2433014
233,800,416,4581952,2489768
234,896,412,5185728,2363310
235,672,365,3881088,2209860
236,960,328,5217216,1791945
237,1120,409,6401696,2457306
238,832,389,4888832,2301567
239,896,355,4776896,1873932
240,800,370,4430752,2060619
241,1152,450,6207360,2451133
242,992,368,5237632,2214338
243,928,421,5293440,2476687
244,1056,419,6339712,2590205
245,960,374,5281152,2149117
246,960,392,5196768,2338209
247,1120,367,5890848,1938237
248,800,346,4390560,1879330
249,1056,370,5779584,2078240
250,864,408,4980416,2519628
251,1280,417,6860288,2326267
252,992,398,5555232,2321493
253,992,375,5461824,2141684
254,800,296,4376064,1636108
255,928,407,4860128,2107350
256,800,444,4398176,2514189
257,832,329,4724896,1853871
258,768,405,4037440,2205624
259,896,414,5144800,2431398
260,736,324,4311680,2090835
261,896,357,5046848,2021782
262,896,406,4688896,2149408
263,608,358,3457472,2222822
264,736,311,4097632,1742693
265,768,399,4254304,2395314
266,896,397,5201792,2376476
267,864,343,4571328,1899571
268,864,367,4804576,2133931
269,800,453,4465472,2588064
270,800,367,4521088,2129234
271,800,312,4523264,1773484
272,704,369,4119904,2168907
273,1184,399,6557152,2219921
274,992,407,5518336,2280187
275,800,351,4483552,2052554
276,768,366,4192448,1949107
277,800,401,4396736,2202670
278,928,355,5013728,2153076
279,864,404,4864704,2288280
280,832,341,4582144,1859025
281,768,352,4225760,2095883
282,896,385,4838240,2041237
283,704,402,3992192,2187324
284,928,377,5019296,2013865
285,928,411,5304224,2433059
286,896,353,4976256,2023927
287,800,363,4507040,2028396
288,608,333,3642752,2016919
289,800,355,4733888,2227173
290,768,384,4284512,2311027
291,672,314,3745088,1759201
292,736,326,3930272,1905029
293,672,348,3940320,2035872
294,896,386,4762688,2178884
295,896,377,5334208,2343944
296,800,346,4188000,1771331
297,800,380,4563744,2335275
298,1280,429,7342048,2708342
299,1088,344,6038656,2211068
300,928,361,5195840,2073687
301,768,329,4588992,2057937
302,896,353,4947552,2048254
303,704,326,3943456,1897479
304,800,356,4512736,2091716
305,800,405,4640256,2446816
306,672,332,3649312,1838193
307,992,399,5407456,2452306
308,1376,359,7068160,1989849
309,1088,392,5703776,2191855
310,928,347,4838720,1863237
311,896,412,4986752,2484357
312,800,425,4556896,2472929
313,832,388,4577120,2122846
314,1248,400,6659680,2330599
315,864,386,4858080,2245694
316,608,342,3467520,1969306
317,1344,360,7679776,2249767
318,864,372,4934208,2401466
319,1152,437,6211168,2440903
320,768,334,4210720,1857977
321,1056,437,5718560,2463335
322,928,415,4634080,2238047
323,672,359,3903968,2157373
324,928,374,5138432,2196214
325,1024,342,5539008,1916649
326,672,351,3987488,2123863
327,1056,365,5674752,2000024
328,864,335,4605504,1906084
329,928,390,5036384,2306729
330,896,419,4951552,2266140
331,1344,348,7470656,2036082
332,864,375,4653120,2126868
333,992,447,5250272,2281686
334,1056,347,5306624,1780820
335,864,364,4862336,2095372
336,1120,355,6201376,2203380
337,928,339,4955712,1860093
338,1120,449,5806912,2268028
339,832,391,4549440,2171040
340,1184,358,6401024,1998305
341,768,320,4165760,1839861
342,960,383,4883584,2092485
343,960,353,5062560,1814408
344,1120,413,6212384,2425196
345,864,440,4816768,2633945
346,1184,430,5922688,2349934
347,992,381,5354336,2064484
348,960,432,5305728,2453768
349,608,385,3407168,2211620
350,928,354,4646528,1858884
351,800,332,4413824,1992405
352,768,407,3889504,2126050
353,832,408,4531936,2210585
354,1088,391,5381440,1960251
355,672,359,3332128,1851002
356,1152,427,6302208,2375579
357,1184,383,6333728,2060029
358,864,379,4875808,2187722
359,832,391,4682944,2265728
360,896,401,4860736,2103797
361,1120,376,6129760,2165060
362,1024,373,5485920,2182101
363,960,379,5211040,2070100
364,1344,419,7475680,2493822
365,640,359,3555200,2073606
366,960,426,5117760,2302253
367,768,375,4179712,2115759
368,672,359,3842624,2133375
369,960,336,5147520,1899910
370,704,323,3545408,1711756
371,896,384,4894304,2073756
372,928,359,5067232,2036295
373,896,381,4769536,2204671
374,544,328,3072320,1846271
375,960,400,5496480,2300789
376,608,329,3197088,1754540
377,736,356,3715776,1920867
378,832,378,4638688,2129983
379,736,375,4196416,2117182
380,992,397,5339936,2080237
381,960,423,5170016,2304180
382,896,437,4830016,2333743
383,736,366,4006816,1933189
384,640,312,3470656,1734235
385,928,400,5292352,2340582
386,640,335,3603136,1909082
387,608,307,3568896,1906831
388,736,355,4150048,2137460
389,1056,400,5734752,2412837
390,768,388,4204544,2092656
391,832,373,4622112,2091205
392,1152,340,6381984,2030922
393,1088,403,5808064,2363194
394,800,378,4300576,2056016
395,800,381,4372672,2237655
396,864,378,4595328,2188188
397,960,369,5162880,2109351
398,960,378,5236320,2120251
399,1184,352,6182816,1948429
400,960,423,5253888,2351572
401,1152,377,6298272,2134230
402,1088,408,6085472,2283161
403,704,293,4188096,1969823
404,672,396,3854528,2289522
405,896,440,4843552,2340112
406,896,339,4664928,1890698
407,864,318,4472000,1813803
408,576,330,3340576,1911514
409,704,366,4195776,2177558
410,768,378,4245856,2026590
411,864,412,4730688,2421426
412,992,349,5386048,2016523
413,896,346,4745792,1944410
414,832,380,4585248,2324501
415,704,335,4264256,2216908
416,896,342,5088672,2187905
417,896,291,5117664,1780208
418,1280,374,6937312,2102853
419,704,385,3697152,2063157
420,960,351,5119424,2058903
421,672,378,3951840,2304861
422,768,342,4485888,2069543
423,1024,424,5408512,2249791
424,800,320,4491520,1860774
425,800,324,4391616,1886947
426,896,375,4897888,2159086
427,768,396,4248064,2319261
428,800,355,4628128,2141532
429,928,404,5183712,2318605
430,928,381,5011200,2041518
431,800,405,4512992,2337609
