i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,64,62,268312,260304
1,64,63,267688,263533
2,70,62,298428,266929
3,80,66,350850,291126
4,46,44,205356,196919
5,72,60,309432,256508
6,58,57,242686,238525
7,66,55,301838,252251
8,62,51,265972,220086
9,58,53,257740,237549
10,62,60,260970,250665
11,74,63,310512,263705
12,60,55,250522,230518
13,70,66,271006,255967
14,80,73,346728,314338
15,80,64,340862,272326
16,72,62,307358,270378
17,64,63,263008,258874
18,64,60,277218,257416
19,74,68,318318,294469
20,62,51,256990,215797
21,76,63,327410,275833
22,48,48,206234,205630
23,68,62,292312,269389
24,64,59,272464,253360
25,72,63,320194,280142
26,74,58,326532,261629
27,68,55,309514,252674
28,76,73,325448,313107
29,40,40,190264,189106
30,56,52,259430,239429
31,48,46,233966,225394
32,46,43,212790,199345
33,72,64,342176,309609
34,78,64,323436,270164
35,70,66,293658,278257
36,80,76,330080,313071
37,80,62,345870,271663
38,56,52,254928,234208
39,72,63,331488,295642
40,54,49,233700,214669
41,46,43,222844,208975
42,66,64,297796,286625
43,64,60,295524,275520
44,58,54,247738,232124
45,60,54,267192,243716
46,78,63,343322,281847
47,76,72,319764,304061
48,66,62,283816,268323
49,74,60,313216,259514
50,80,77,321458,310018
51,70,64,296000,272797
52,68,65,285420,273500
53,58,52,266482,240828
54,80,76,333574,317804
55,76,73,316292,302115
56,80,70,316324,279173
57,70,63,277996,251722
58,76,66,316106,275612
59,72,60,291046,245059
60,68,63,289364,270651
61,64,58,272220,246791
62,64,61,251994,240490
63,64,62,273332,265290
64,68,64,278428,262390
65,80,60,341014,259195
66,74,72,290198,280766
67,72,60,281884,237486
68,78,64,319134,264252
69,76,70,304502,277787
70,78,68,311924,272093
71,48,48,205684,205124
72,76,70,315242,293229
73,70,57,284316,231827
74,78,67,307754,262180
75,76,61,316256,256286
76,80,61,324188,248525
77,60,55,268778,249340
78,76,68,300210,264919
79,70,65,275540,256414
80,76,65,308938,266893
81,72,65,297428,270697
82,80,65,325550,269019
83,52,47,218476,195930
84,80,66,330726,275741
85,54,53,238516,233768
86,62,61,265958,260982
87,72,68,279722,264922
88,54,51,231606,219677
89,68,55,271024,222499
90,62,52,245732,204679
91,76,64,320182,273678
92,78,59,318642,244473
93,42,41,192758,188131
94,70,67,277610,264999
95,70,67,293828,280692
96,72,71,291760,287378
97,72,60,279080,231956
98,64,59,252066,231874
99,58,50,224262,193345
100,78,69,306566,272521
101,76,75,288094,283446
102,46,43,182594,170888
103,74,68,289276,266682
104,72,62,266472,228127
105,50,47,188188,176233
106,78,74,295732,280040
107,64,59,240718,219988
108,76,71,289750,270551
109,50,45,203736,184623
110,76,61,310136,247904
111,62,55,237998,211848
112,76,65,297072,254286
113,76,62,300396,244208
114,66,59,257056,230444
115,76,64,303808,256607
116,54,52,218928,210673
117,64,56,261714,228591
118,74,64,291586,252297
119,64,60,248100,232279
120,76,70,293952,269258
121,74,71,267446,253707
122,80,63,315576,250714
123,64,62,257498,249009
124,78,78,289938,289412
125,66,61,252140,232126
126,72,57,288332,227218
127,80,78,310058,301950
128,78,62,307394,248646
129,62,53,243366,208992
130,46,45,185560,180909
131,74,59,288312,231491
132,56,51,220394,201567
133,50,50,187920,187172
134,76,69,302328,274347
135,54,52,207662,198745
136,58,52,245656,221698
137,66,63,253932,242173
138,50,45,201032,181559
139,66,54,266484,220888
140,56,50,232438,208819
141,80,72,307830,277588
142,74,63,287584,244481
143,60,53,242766,215255
144,78,69,321672,287509
145,60,55,250528,230354
146,70,62,273704,244305
147,52,49,216468,203815
148,62,52,262286,223380
149,50,46,199032,182897
150,68,67,268912,264494
151,80,76,320522,304017
152,74,62,289562,243703
153,78,67,299148,256711
154,52,49,198608,187069
155,74,69,294908,274842
156,72,64,283082,253559
157,72,66,282466,259272
158,62,55,260862,233603
159,80,64,323094,261052
160,78,77,302432,298195
161,78,74,310972,295171
162,56,48,215962,181839
163,56,49,220414,192335
164,66,58,266134,235844
165,56,51,219238,198732
166,78,76,292028,284005
167,66,55,265086,224311
168,58,57,230390,225735
169,56,50,232136,205971
170,76,73,306268,289724
171,66,54,267248,221441
172,80,78,329944,321665
173,78,65,302802,250995
174,80,67,308070,255254
175,72,65,286530,256739
176,64,55,271756,235544
177,64,53,258602,217298
178,72,66,282162,257652
179,74,64,285812,244578
180,66,58,247942,217256
181,78,75,304418,291668
182,64,62,246630,238780
183,66,56,264156,224286
184,76,73,305364,293379
185,58,53,231302,210648
186,80,77,324162,311801
187,80,73,335834,303628
188,68,57,270972,229603
189,68,63,282546,261095
190,66,65,261692,257207
191,66,61,273880,254060
192,44,43,177918,172640
193,80,76,324976,309061
194,48,47,186572,182329
195,70,55,275860,218272
196,56,53,224506,212534
197,72,65,298924,268211
198,66,58,265294,234204
199,76,61,301564,238129
200,68,57,273222,231040
201,64,57,256342,228685
202,80,76,309700,293657
203,74,63,293502,248938
204,52,50,229828,221618
205,72,69,266438,254811
206,60,50,234102,192503
207,70,57,263036,215044
208,52,52,198356,197672
209,74,70,281776,266912
210,78,62,298430,236225
211,68,66,271884,263559
212,58,49,235692,198867
213,66,62,258828,243793
214,60,54,235350,212294
215,78,72,315602,287769
216,68,58,265002,227450
217,72,68,283202,264946
218,42,42,166542,165620
219,76,72,310432,294525
220,58,55,232658,220245
221,80,79,316646,312200
222,68,62,274314,251599
223,74,69,284458,265102
224,76,65,298856,253468
225,70,66,264732,248099
226,62,59,239828,225109
227,58,58,225650,225010
228,58,50,239044,206898
229,54,54,213592,212780
230,70,67,287232,274157
231,78,75,302076,290310
232,70,66,269882,253922
233,68,57,261348,221101
234,76,68,293026,259991
235,80,61,311300,235305
236,48,47,203386,199072
237,80,72,315730,285543
238,74,58,297854,236711
239,74,67,307356,280574
240,56,56,218064,217462
241,78,67,307710,266858
242,78,71,319364,290112
243,72,69,293416,281516
244,76,72,284200,268460
245,56,53,230740,218778
246,78,69,310182,276226
247,80,72,328018,286940
248,44,43,180786,175776
249,76,74,306024,297474
250,72,69,280594,268844
251,80,68,331480,278146
252,60,51,240650,204718
253,54,47,209542,182435
254,62,59,250780,236499
255,50,47,203436,191098
256,70,56,294212,241739
257,72,63,280696,246174
258,72,59,296004,241451
259,78,64,307928,255128
260,64,59,249764,230288
261,62,53,248760,214067
262,78,78,318590,317990
263,76,75,306696,301675
264,62,57,239526,219996
265,48,48,195048,194468
266,60,58,243542,235362
267,56,51,219670,200266
