i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,1280,1000,7283680,5547564
1,1248,1001,6756288,5419662
2,1216,889,6699360,4796812
3,1280,983,7109088,5308520
4,1280,891,7246400,4775814
5,1248,1005,6505792,5238028
6,1248,937,6833408,5092773
7,1280,945,7558848,5300411
8,1280,972,7285632,5316237
9,1280,944,7065664,5122860
10,1280,917,6876992,4972683
11,1248,905,6636704,4813910
12,1280,932,6885056,5091834
13,1280,933,7106464,4980362
14,1280,949,7266336,5160808
15,1280,993,6782368,5306731
16,1248,954,6656000,5021281
17,1280,944,6897728,5054531
18,1280,968,7169056,5261420
19,1280,969,7113600,5279556
20,1280,951,6782624,4994734
21,1248,980,6752960,5319730
22,1280,990,6918528,5285883
23,1280,975,7378112,5411536
24,1280,945,6826464,5053456
25,1248,952,6991840,5298978
26,1280,916,7459584,5091752
27,1248,915,6515488,4844158
28,1248,925,6965184,5116127
29,1280,911,7072992,4845270
30,1248,947,6924832,5252855
31,1280,992,6982656,5384022
32,1280,953,7145824,5185069
33,1280,924,7202912,5019373
34,1248,918,6871552,5045012
35,1280,959,7209760,5233027
36,1248,939,6786176,5149330
37,1248,895,6561760,4717407
38,1280,972,7460096,5432973
39,1280,967,6833088,5178727
40,1280,939,6567360,4795005
41,1280,1008,6824224,5456222
42,1280,976,7081984,5381218
43,1280,1040,7293312,5758030
44,1280,962,7052160,5288617
45,1248,913,6919456,5055977
46,1280,851,7006368,4609072
47,1280,980,6824384,5260316
48,1280,1046,7074592,5858760
49,1280,998,7159040,5590166
50,1280,966,7097088,5393842
51,1280,856,6838752,4564336
52,1248,899,7013312,5034227
53,1280,928,6896128,5038709
54,1248,1027,7000448,5763850
55,1280,957,7471136,5451596
56,1280,972,7322848,5413575
57,1280,984,7522816,5747049
58,1280,942,7127584,5257681
59,1280,916,7096352,5061098
60,1280,986,7158272,5292930
61,1216,912,6899328,5175419
62,1280,1017,6830944,5229938
63,1280,949,7018272,5144321
64,1248,914,7073600,5150216
65,1248,942,6609056,4918963
66,1280,975,6946912,5084829
67,1280,955,6405632,4692840
68,1248,910,6235200,4436699
69,1280,977,6969280,5384862
70,1280,934,7188512,4971471
71,1280,890,6996256,4825397
72,1280,949,6961600,4974398
73,1280,937,6846368,4807462
74,1280,935,6681312,4785805
75,1280,1020,7023456,5405405
76,1248,923,6649792,4914383
77,1280,924,6799552,4835189
78,1280,946,7012896,4963517
79,1280,983,7174240,5319415
80,1248,963,6870656,5084699
81,1280,913,7037696,4890818
82,1280,966,7224256,5183932
83,1280,1031,7211872,5651768
84,1280,970,6708832,4850937
85,1280,972,6788672,5155588
86,1216,926,6419840,4782565
87,1280,983,7346688,5304275
88,1248,951,6237632,4760554
89,1248,891,6650624,4691305
90,1280,929,7250848,4946302
91,1280,946,7127392,5033072
92,1280,970,7342688,5239600
93,1248,934,6780096,4858165
94,1280,927,7209280,5018260
95,1280,986,6733344,5093983
96,1280,943,7247808,5320685
97,1280,1000,7024896,5424291
98,1280,972,7216704,5485970
99,1280,979,7626784,5716929
100,1280,965,7112640,5422531
101,1280,963,7638656,5645499
102,1280,948,7520064,5436827
103,1280,1089,7469856,6366753
104,1280,934,7095264,5179423
105,1280,1015,7556000,5976871
106,1280,946,7394624,5438661
107,1280,984,6978016,5406273
108,1248,908,6563328,4776338
109,1280,998,7223456,5445813
110,1248,922,6960896,5214461
111,1280,995,7124544,5495077
112,1280,896,6734144,4758506
113,1280,954,7197664,5414995
114,1280,914,6869184,4752170
115,1280,998,6885504,5233875
116,1280,968,7006528,5399782
117,1280,942,7001248,5012261
118,1280,953,6662432,4973272
119,1280,940,7195808,5095878
120,1280,958,7333568,5550479
121,1280,974,6640416,5016977
122,1280,976,7198688,5232634
123,1280,968,7165600,5405505
124,1280,931,6779424,4762832
125,1280,957,7461856,5351528
126,1280,967,7341504,5236222
127,1280,920,7555008,5272489
128,1280,887,7201600,4727665
129,1280,983,6824480,5202852
130,1248,928,6551584,4751238
131,1280,971,6617952,4995923
132,1280,960,7271296,5259959
133,1280,1004,6834272,5321113
134,1248,985,6855648,5233014
135,1280,1023,7227712,5590293
136,1216,939,6642624,5014888
137,1280,996,6638592,5114931
138,1280,914,6882272,4791162
139,1280,983,6837184,5070607
140,1280,980,7472448,5584069
141,1248,964,6748544,5211553
142,1280,974,7099968,5145946
143,1280,955,7185632,5175572
144,1280,1022,7106656,5679176
145,1280,931,7029024,5143831
146,1280,1015,7376864,5715352
147,1280,946,7093088,5236686
148,1280,1001,6600512,5121632
149,1280,995,7230336,5456023
150,1280,970,7501120,5536969
