i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,18,18,83202,82873
1,21,21,99727,99000
2,14,14,66273,65962
3,23,23,109720,109322
4,20,20,90112,89568
5,20,20,86228,85946
6,18,18,81336,81064
7,25,25,114089,113477
8,20,20,90556,90181
9,24,24,109248,108964
10,19,19,80845,80574
11,24,24,110271,109965
12,24,24,105945,105238
13,17,17,78128,77848
14,16,16,75483,75058
15,24,24,114061,113803
16,21,21,98421,98100
17,17,17,81787,81508
18,24,24,107150,106872
19,21,21,90922,90645
20,20,20,87273,87010
21,22,22,95493,94887
22,25,25,110490,110070
23,19,19,91689,91399
24,24,24,99886,99550
25,25,25,124585,124314
26,24,24,107593,107104
27,19,19,93132,92793
28,21,21,96792,96474
29,19,19,94627,94082
30,24,24,111391,111088
31,23,23,107424,106769
32,19,19,89278,89010
33,20,20,91717,91285
34,19,19,87239,86908
35,19,19,89920,89594
36,21,21,91588,90736
37,20,20,95387,94758
38,23,23,107084,106810
39,20,20,91097,90834
40,21,21,97863,97574
41,21,21,93960,93638
42,21,21,101274,101024
43,18,18,84569,84291
44,19,19,93270,92995
45,24,24,109349,108931
46,22,22,106200,105386
47,22,22,101115,100757
48,19,19,84751,84433
49,16,16,75090,74811
50,19,19,84972,84700
51,22,22,95240,94974
52,22,22,97488,97184
53,21,21,93354,93086
54,21,21,94438,94160
55,20,20,90094,89797
56,29,29,123373,123057
57,23,23,100962,100662
58,18,18,81789,81504
59,21,21,99223,98921
60,20,20,91824,91506
61,19,19,81329,81002
62,22,22,95118,94586
63,20,20,91089,90817
64,20,20,85028,84764
65,19,19,93884,93527
66,19,19,82785,82512
67,18,18,80249,79946
68,21,21,92517,92236
69,21,21,90370,89749
70,23,23,96842,96064
71,18,18,78399,78069
72,25,25,109145,108777
73,23,23,100136,99825
74,23,23,106121,105795
75,20,20,91576,91295
76,25,25,107421,107143
77,22,22,93050,92723
78,18,18,76965,76691
79,18,18,74759,74459
80,20,20,85930,85408
81,17,17,74673,74338
82,19,19,78481,78221
83,22,22,92635,92371
84,18,18,80207,79899
85,25,25,105819,105501
86,15,15,70766,70457
87,19,19,87616,87328
88,13,13,57345,56977
89,20,20,90690,90179
90,17,17,73362,73078
91,20,20,84813,84514
92,15,15,68230,67901
93,21,21,97559,96895
94,16,16,65931,65669
95,21,21,96229,95900
96,18,18,76414,76074
97,22,22,94538,94229
98,21,21,88622,88242
99,13,13,51877,51562
100,25,25,98022,97753
101,17,17,72057,71769
102,19,19,79171,78635
103,20,20,83843,83571
104,20,20,76885,76564
105,19,19,79743,79457
106,22,22,85688,85417
107,24,24,94814,94521
108,17,17,67678,67395
109,18,18,76501,76202
110,22,22,81840,81567
111,19,19,78244,77950
112,18,18,76415,76093
113,17,17,74756,74497
114,18,18,70688,70349
115,16,16,59930,59598
116,19,19,72673,72381
117,15,15,61706,61223
118,23,23,88672,88369
119,21,21,80270,79841
120,18,18,78663,78376
121,15,15,58783,58476
122,19,19,79711,79445
123,16,16,66181,65873
124,22,22,90835,90556
