i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,66,34,295384,157719
1,50,33,224694,154129
2,116,72,468550,296837
3,64,43,266812,185901
4,28,17,137282,89373
5,66,35,292226,161595
6,98,56,420752,247177
7,72,38,314314,173134
8,52,31,224370,140888
9,56,51,244860,224906
10,20,13,112448,79449
11,8,5,54322,36930
12,54,53,254270,249735
13,24,22,127368,118550
14,44,39,202022,182051
15,158,104,648328,434175
16,84,64,357910,278210
17,44,24,191386,111580
18,30,28,136626,127974
19,18,14,96872,77613
20,68,37,304394,172629
21,68,46,302362,214456
22,10,6,60942,39700
23,68,46,317972,227003
24,38,30,166674,135082
25,22,20,131176,121002
26,74,40,335826,190239
27,82,54,347032,241473
28,66,34,295352,157445
29,188,144,772804,596337
30,52,32,232114,153037
31,10,6,63332,40888
32,120,63,520130,279091
33,62,42,281260,199821
34,66,64,270738,262864
35,30,20,144110,102672
36,106,63,437972,268251
37,86,60,376260,271679
38,32,17,148414,84414
39,38,21,180870,104460
40,122,99,485448,400828
41,16,11,90144,65658
42,28,26,144962,134908
43,252,195,1019646,788940
44,20,14,107882,81040
45,184,98,734500,404789
46,52,39,238730,180830
47,24,14,117988,73635
48,26,14,125298,70248
49,40,27,175872,118751
50,42,41,172518,168145
51,36,28,166262,127255
52,108,64,435706,264070
53,16,11,87052,60858
54,90,76,362050,311333
55,24,18,102426,79474
56,140,90,555532,364600
57,124,71,520040,302370
58,64,49,260158,200592
59,52,27,227772,120587
60,36,22,150686,98738
61,24,18,106754,82248
62,16,9,77814,46085
63,42,31,179858,136048
64,86,47,360258,204204
65,40,23,165626,98109
66,28,26,122558,114584
67,8,6,30376,22339
68,88,85,363238,350618
69,28,20,123952,94040
70,62,57,265860,244970
71,76,52,317186,223680
72,52,27,228150,121827
73,32,21,136764,93378
74,104,60,392128,227032
75,30,28,125998,115225
76,30,25,140208,120606
77,10,10,42924,42362
78,88,47,371794,203027
79,42,39,177834,166361
80,222,117,867648,455837
81,38,33,144840,125293
82,56,41,223206,165943
83,12,7,65408,39602
84,74,50,303062,207590
85,58,34,210612,123320
86,36,35,156378,151883
87,82,63,332216,258834
88,62,34,264786,149779
89,18,17,83402,77453
90,66,35,273984,150272
91,58,36,236952,150191
92,32,28,138222,121403
93,46,25,202902,114020
94,18,17,87794,82983
95,44,31,189346,135031
96,36,20,159476,91300
97,20,14,91868,68266
98,58,41,215662,150636
99,8,6,41128,32740
100,222,125,882238,496215
101,32,17,143942,79433
102,40,24,156620,96582
103,60,43,229354,163635
104,112,59,459860,249325
105,18,18,73068,72522
106,78,59,313202,233976
107,76,46,282686,172071
108,128,76,481928,285355
109,60,32,237468,128627
110,76,75,301848,296122
111,56,33,251902,154175
112,56,53,229634,217369
113,114,67,438128,260276
114,122,110,453136,407110
115,18,11,94820,61524
116,64,46,246984,174320
117,28,17,117230,72035
118,74,47,306680,192921
119,12,7,53496,31592
120,72,48,300304,205142
121,2,2,8232,7694
122,30,22,115438,83540
123,16,9,61290,34719
124,56,39,224186,154088
125,96,51,386748,205906
126,40,29,155580,114705
127,136,84,522956,319526
128,34,28,137710,113991
129,14,13,54980,50560
130,146,82,579416,329383
131,14,11,53806,41602
132,34,21,128310,78913
133,26,23,106188,93862
134,22,13,104082,64516
135,26,16,98858,60443
136,34,20,132550,80342
137,64,37,259056,149727
138,38,27,154390,114283
139,96,49,361554,184385
140,22,13,88330,52975
141,46,26,170296,95980
142,4,3,20058,14111
143,38,26,143680,98950
144,180,117,695092,449293
145,20,11,88624,50325
146,18,13,79096,59676
147,78,45,324790,192334
148,46,30,168900,108694
149,132,113,499510,428245
150,282,165,1117082,650453
151,12,7,47148,28179
152,14,8,67292,40695
153,22,18,95626,79599
154,26,21,103154,82569
155,60,31,223954,115475
156,34,20,133458,79026
157,22,15,113254,80993
158,38,37,146798,142462
159,32,30,131390,123422
160,36,33,155682,143723
161,66,44,262184,174310
162,328,165,1339686,673953
163,50,32,195740,126056
164,70,42,269830,163583
165,38,28,149654,110553
166,100,54,391212,216155
167,10,6,42916,25977
168,34,32,129620,121318
169,46,24,193758,104239
170,20,20,80534,79888
171,6,4,38038,24327
172,36,26,146964,108201
173,26,16,111172,70764
174,46,25,191040,105260
175,82,79,338130,326071
176,50,41,201520,167379
177,24,16,112534,77531
178,28,24,109546,93278
179,144,75,591774,313470
180,30,18,114368,67848
181,62,38,245630,151589
182,72,40,322754,185195
183,18,17,77708,72754
184,24,14,103338,63471
185,12,9,56918,43092
186,124,88,475684,337736
187,80,45,311590,176156
188,22,13,87138,52513
189,26,21,125874,102547
190,14,8,71816,40956
191,140,71,536736,272440
192,84,61,325218,235654
193,48,38,199568,157930
194,84,68,316120,257604
195,18,11,78224,48409
196,26,23,99566,87950
197,64,33,249578,129183
198,118,76,464608,302358
199,28,16,115486,67806
200,64,54,249646,209589
201,92,63,364862,245925
202,148,110,599866,442817
203,64,35,247758,135925
204,72,48,282942,193487
205,52,34,201890,133479
206,16,14,60148,52054
207,14,9,63652,41591
208,6,4,38304,26270
209,74,39,290216,157181
210,36,28,136680,106673
211,88,55,357968,229107
212,58,34,223752,129008
213,32,31,127610,123063
214,62,33,248888,134818
215,46,26,182108,102373
216,8,8,50794,50168
217,16,15,72638,68263
218,78,44,298590,169568
219,32,28,124182,108802
220,124,67,473258,255908
221,48,45,193296,180917
222,72,41,277628,158786
223,48,25,191278,100287
224,38,32,160402,136288
225,8,8,33448,32828
226,68,51,275892,205138
227,228,119,876510,456630
228,54,41,200728,152350
229,140,107,541076,414781
230,90,47,349330,186467
231,18,11,78640,49520
232,72,39,286608,158500
233,12,7,48266,28145
234,56,32,201772,114429
235,48,33,191752,135562
236,56,56,244520,243874
237,4,3,16382,11705
238,34,18,128648,68224
239,142,116,554860,446297
240,28,16,122018,72487
241,146,96,568810,373919
242,48,45,216050,204036
243,22,15,89708,60886
244,8,6,39484,29748
245,122,87,472692,340315
246,60,44,248238,177979
247,78,58,298546,220022
248,22,19,89914,77892
249,38,32,163800,138316
250,154,144,592178,554983
251,60,38,257324,169932
252,26,20,114092,90625
253,78,46,304956,181538
254,54,43,211870,170190
255,58,34,233084,138930
256,10,7,57582,42661
257,26,19,104702,77563
258,68,35,319672,168529
259,120,65,473660,256402
