i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,60,60,245050,244710
1,36,36,144735,144389
2,29,29,123382,123056
3,29,29,123952,123648
4,1,1,9872,9256
5,13,13,66988,66731
6,1,1,11308,10431
7,5,5,34191,33769
8,41,41,170193,169784
9,70,70,308325,308052
10,1,1,10245,9505
11,18,18,88064,87777
12,19,19,88264,87905
13,1,1,10259,9418
14,10,10,51937,51594
15,16,16,75878,75599
16,1,1,10649,9691
17,31,31,140107,139231
18,84,84,327531,327229
19,23,23,109868,109579
20,6,6,35185,34892
21,3,3,23877,22834
22,2,2,17789,16962
23,40,40,171191,170614
24,11,11,61563,61315
25,2,2,16644,16071
26,12,12,63142,62221
27,2,2,15190,14688
28,28,28,126393,126077
29,9,9,47366,47057
30,9,9,51918,51634
31,26,26,117821,117547
32,3,3,24585,23955
33,74,74,322825,322378
34,16,16,80166,79886
35,8,8,44457,44176
36,4,4,26226,25965
37,35,35,154232,153886
38,13,13,65659,65383
39,8,8,46855,45810
40,3,3,19656,19344
41,21,21,98007,97712
42,4,4,30943,30525
43,92,92,396104,395803
44,10,10,58946,58658
45,9,9,53067,52771
46,71,71,291616,291326
47,12,12,61094,60629
48,19,19,89936,89666
49,7,7,34132,33649
50,1,1,7689,6983
51,20,20,88925,88624
52,27,27,112313,112008
53,17,17,80723,80439
54,18,18,78898,78377
55,1,1,8619,7694
56,67,67,277436,277145
57,28,28,127166,126860
58,7,7,35093,34834
59,8,8,42240,41105
60,89,89,351590,351225
61,31,31,126050,125647
62,42,42,182257,181736
63,3,3,20578,19733
64,30,30,114475,114188
65,8,8,39772,39459
66,12,12,55210,54899
67,52,52,208846,208571
68,3,3,18835,18209
69,119,119,483261,482712
70,8,8,45193,44745
71,7,7,34450,34180
72,25,25,109650,109297
73,29,29,120641,120359
74,7,7,34732,34475
75,1,1,7530,6672
76,36,36,136130,135870
77,38,38,162187,161865
78,16,16,69132,68868
79,29,29,119896,119541
80,27,27,117740,117429
81,2,2,9182,8868
82,9,9,48955,48422
83,11,11,52279,52014
84,8,8,35848,35575
85,8,8,39270,39004
86,21,21,90869,90181
87,3,3,10722,10383
88,4,4,23534,23116
89,12,12,59927,59640
90,6,6,30301,30007
91,54,54,209067,208767
92,14,14,64185,63835
93,12,12,54829,54495
94,1,1,5088,4795
95,6,6,29002,28692
96,38,38,160789,160395
97,4,4,19017,18747
