i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,68,62,292090,264517
1,64,62,269524,261307
2,64,63,266782,262188
3,68,59,296626,255715
4,72,62,308140,264977
5,50,50,215642,214944
6,56,52,237592,221362
7,74,59,326784,263144
8,66,55,283606,235871
9,66,65,286052,281528
10,68,64,284010,268486
11,62,61,260760,255142
12,70,60,295302,255559
13,60,55,253844,234098
14,92,77,385596,325325
15,70,63,298444,267441
16,74,66,310724,280051
17,64,60,260536,246704
18,64,62,274680,262848
19,60,58,254162,245786
20,62,59,254256,241716
21,68,67,294848,289789
22,66,54,273740,222895
23,68,59,304184,263290
24,54,53,211066,206796
25,62,61,272160,267625
26,68,60,306796,271541
27,66,58,286130,255998
28,68,60,293890,261742
29,78,72,335468,306214
30,74,64,317146,278947
31,76,62,333220,276781
32,84,78,362524,334278
33,80,72,357614,321791
34,74,61,328528,273804
35,62,49,274434,224244
36,64,61,278942,266977
37,70,56,316068,256536
38,60,59,253490,249088
39,72,62,306362,264754
40,78,61,345238,269701
41,64,62,270082,262054
42,60,56,273856,252588
43,76,68,321934,291038
44,52,50,233810,225920
45,78,74,335106,316927
46,78,55,343572,250423
47,62,57,273254,253900
48,76,63,314616,266242
49,62,61,267784,263195
50,60,56,256290,240822
51,54,46,225992,195808
52,56,53,244316,231913
53,48,48,211970,211382
54,72,66,297760,269324
55,60,59,239290,235064
56,60,58,236506,228634
57,48,48,201126,200540
58,62,54,275442,239257
59,84,70,349842,291837
60,62,53,262722,228464
61,78,65,342068,289796
62,72,57,300122,239128
63,36,36,158244,157606
64,80,72,340240,305924
65,74,65,304452,265245
66,72,54,286730,216539
67,64,59,270160,251014
68,74,66,304456,272677
69,62,61,259308,254699
70,70,66,305974,287291
71,70,65,283014,264190
72,60,57,235572,224575
73,64,53,278682,235561
74,72,63,289582,254355
75,66,52,271530,216812
76,50,42,211232,179568
77,62,59,249232,235913
78,68,66,288456,280497
79,66,62,278900,262809
80,72,65,293368,266301
81,72,67,285378,266131
82,58,54,248640,233133
83,68,59,277316,241304
84,76,70,313804,290341
