i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,24,24,106640,106377
1,29,29,128708,128421
2,37,37,164249,163940
3,33,33,143382,143110
4,36,36,149528,148770
5,34,34,138325,138053
6,26,26,106532,106224
7,29,29,131217,130885
8,26,26,105636,105362
9,15,15,71335,71028
10,30,30,124426,124148
11,43,43,179040,178695
12,31,31,129729,129090
13,30,30,125828,125448
14,28,28,120919,120564
15,35,35,142429,141577
16,29,29,130013,129388
17,34,34,140393,140099
18,27,27,117405,117027
19,28,28,119822,119537
20,29,29,122170,121226
21,29,29,124551,124015
22,30,30,130533,130263
23,35,35,153117,152660
24,19,19,82623,82242
25,27,27,117934,117600
26,26,26,120125,119811
27,29,29,131988,131672
28,24,24,105337,104900
29,15,15,75143,74365
30,24,24,108228,107926
31,39,39,172593,172264
32,29,29,122909,122727
33,27,27,123751,123418
34,35,35,149234,148868
35,31,31,135497,135210
36,40,40,169807,169514
37,34,34,151074,150718
38,32,32,135854,135554
39,20,20,90040,89739
40,34,34,144192,143514
41,33,33,144321,144016
42,29,29,125536,125248
43,30,30,136620,135719
44,40,40,170181,169889
45,29,29,130227,129876
46,32,32,138331,138113
47,35,35,147385,147062
48,27,27,118119,117829
49,27,27,116508,116214
50,39,39,162654,162397
51,48,48,189166,188874
52,23,23,103401,103032
53,37,37,149132,148851
54,25,25,101442,101118
55,30,30,126786,126494
56,27,27,115405,115123
57,32,32,137971,137263
58,28,28,114552,114265
59,27,27,114955,114675
60,26,26,117468,117139
61,25,25,111866,111559
62,34,34,143730,143444
63,29,29,122098,121813
64,24,24,111203,110853
65,36,36,149397,149047
66,29,29,119813,119208
67,33,33,138935,138659
68,31,31,124019,123726
69,26,26,105195,104913
70,38,38,155113,154831
71,31,31,133833,133533
72,34,34,136941,136646
73,23,23,100284,99988
74,28,28,118740,118390
75,28,28,113971,113674
76,30,30,127977,127700
77,46,46,189245,188835
78,30,30,123738,123433
79,28,28,115554,115252
80,35,35,148369,147917
81,34,34,139791,139479
82,32,32,129575,129291
83,33,33,140788,140480
84,32,32,132642,132338
85,34,34,132149,131887
86,29,29,120253,119938
87,33,33,134030,133753
88,31,31,125572,125131
89,32,32,131644,131337
90,34,34,136573,136271
91,37,37,152789,152496
92,36,36,143221,142961
93,38,38,152276,152012
94,22,22,97488,97165
95,29,29,114228,113941
96,36,36,143994,143612
97,41,41,161234,160932
98,25,25,102853,102513
99,34,34,137867,137618
100,30,30,120270,119985
101,27,27,103456,103176
102,28,28,110202,109888
103,33,33,131108,130742
104,39,39,151666,151356
105,23,23,90638,90305
106,35,35,137448,137110
107,41,41,162153,161871
