i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,44,33,194318,149639
1,48,30,207190,136441
2,40,26,183596,127767
3,44,36,197796,162920
4,34,24,152660,114566
5,38,30,177332,142715
6,16,14,91416,81686
7,40,26,198312,132946
8,22,17,119244,97188
9,30,19,142550,96507
10,44,37,192652,165825
11,36,29,173728,139090
12,22,21,106388,102286
13,28,19,130482,94909
14,26,22,122980,106418
15,34,30,165924,145541
16,38,24,190194,124365
17,24,18,115120,91388
18,24,13,127190,73538
19,28,22,139496,112562
20,16,10,87190,58759
21,28,27,130810,126427
22,46,40,220404,191421
23,30,20,156012,110134
24,6,6,45918,44256
25,36,30,191602,161449
26,30,23,155868,124534
27,16,13,96938,80006
28,44,36,218454,181079
29,46,28,218290,141266
30,36,31,180192,159483
31,34,26,180594,141460
32,66,40,301606,192208
33,26,24,140856,131281
34,18,17,108424,100022
35,22,22,121456,120874
36,16,12,87792,69170
37,42,28,212992,149076
38,32,31,149062,144725
39,24,24,126362,125806
40,48,37,219238,170368
41,34,25,181662,138392
42,48,41,215216,185187
43,30,24,146694,121419
44,44,38,196614,172380
45,60,41,279148,197226
46,44,29,202978,142133
47,56,39,250800,184937
48,32,19,137172,85883
49,36,31,160462,140976
50,36,29,165122,137518
51,26,25,129136,124126
52,32,31,140054,130611
53,34,24,153424,107496
54,30,25,138166,118499
55,28,23,132658,113099
56,18,14,89632,73268
57,36,22,173808,109757
58,40,30,188428,148998
59,18,15,97510,79026
60,30,19,129694,86385
61,32,26,151606,127586
62,34,27,151768,121162
63,28,28,120526,119986
64,8,7,48396,40712
65,48,33,226194,163693
66,28,25,127464,115066
67,24,21,115384,100541
68,26,22,124012,109503
69,20,17,105006,86521
70,24,20,120254,104308
71,26,21,120242,97645
72,26,26,110458,109930
73,30,21,130710,95902
74,36,27,156132,116841
75,26,15,118802,73067
76,22,19,112232,99495
77,24,13,119070,67038
78,36,24,157644,108876
79,50,37,223438,165135
80,34,22,147928,101029
81,46,30,203988,135008
82,26,20,112788,87668
83,20,16,101136,84243
84,36,24,172624,119799
85,32,29,138110,125929
86,38,28,175394,130852
87,24,20,117720,100545
88,20,18,89704,82527
89,16,13,82226,68285
90,48,41,192360,164535
91,30,23,136068,108053
92,10,10,63714,61968
93,32,20,142924,95498
94,24,23,109170,104961
95,26,17,97270,63289
96,26,18,102126,72731
97,36,35,148282,143572
98,42,36,190196,158408
99,52,34,226476,149559
100,18,17,100190,93600
101,28,17,114398,71251
102,38,28,160394,118654
103,12,9,51976,39531
104,36,29,146224,117727
105,14,9,63096,39730
106,30,26,134720,116591
107,12,8,52272,36399
108,56,32,226514,129256
109,28,23,128968,108683
110,36,31,161414,139164
111,26,13,109018,54221
112,8,8,34990,34266
113,30,25,125254,103481
114,20,18,77846,68871
115,44,25,180196,104639
116,20,19,82150,77810
117,22,21,80536,76590
118,16,11,68376,48713
119,40,34,154420,132247
120,36,22,146892,92998
121,22,21,89180,82312
122,40,26,161744,107415
123,42,27,185786,126198
124,54,39,212236,155711
125,18,14,85916,66331
126,20,16,83700,67836
127,24,18,96574,72282
128,22,18,96258,79759
129,24,20,107652,90490
130,38,31,156102,127633
131,32,27,127236,107456
132,44,29,179402,120712
133,16,12,80150,63004
134,26,24,114512,105843
135,40,26,155500,99903
136,36,23,145010,94473
137,34,21,147064,91856
138,36,28,157940,125393
139,24,19,102180,81079
140,12,7,50122,29875
141,34,25,146918,112189
142,32,25,130884,103995
143,32,26,145192,122896
144,26,22,110426,93673
145,38,30,159926,125486
146,26,21,100650,79141
147,30,20,135248,93250
148,56,39,244850,171162
149,42,26,166420,105608
150,14,12,66062,56624
151,34,27,155378,126136
152,26,17,115402,79289
153,28,18,116484,75921
154,14,14,59160,57760
155,52,37,209122,149352
156,26,25,102570,98265
157,32,26,129886,104598
158,16,15,67070,62519
159,18,17,69788,65516
160,20,16,88232,72346
161,26,17,105108,67811
162,20,18,94264,84547
163,32,30,133098,125448
164,26,19,127152,95946
165,40,32,170810,137537
166,32,21,134902,91475
167,42,34,180264,144908
168,46,35,195218,148209
169,34,23,141172,97225
170,24,20,102556,84613
171,14,13,59696,55406
172,70,43,298422,184746
173,14,14,54168,53528
174,16,13,72082,59538
175,28,16,134282,78550
176,34,26,141532,108261
177,34,30,137732,120432
178,14,12,64958,57095
179,26,25,104860,100432
180,38,26,174464,122504
181,28,25,118646,105213
182,10,8,43992,35480
