i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,1440,948,7959936,5192673
1,1248,923,6625504,4924356
2,1440,961,8407424,5515668
3,1312,994,7180864,5472293
4,1248,932,6689760,5006921
5,1472,1000,7794944,5222952
6,1312,956,6964576,5187412
7,1216,902,6576160,4916687
8,1440,1022,7666912,5355075
9,1440,958,8044128,5281781
10,1344,954,7322816,5145390
11,1376,927,7204192,4982746
12,1312,944,6972800,5079301
13,1504,976,7836896,5113752
14,1280,951,7262912,5313461
15,1312,1009,6792768,5296834
16,1280,952,6930336,5113649
17,1408,920,7435744,4742603
18,1248,935,6874592,5227887
19,1280,969,6859552,5274663
20,1344,889,7304064,4875507
21,1440,1000,7519200,5135502
22,1376,929,7433280,5025269
23,1344,936,7389440,5091957
24,1312,973,6579936,4977659
25,1312,1038,6873440,5493166
26,1312,969,7732576,5565976
27,1216,950,6473760,5065048
28,1280,976,7314240,5590551
29,1344,927,7333184,4945925
30,1280,937,6669504,4987728
31,1184,931,6408160,5033961
32,1312,967,7020096,5125128
33,1216,959,6896064,5226230
34,1440,944,8060704,5225869
35,1280,952,6679328,5115276
36,1408,938,7599328,5175496
37,1280,904,6843712,4869399
38,1408,953,7987360,5300709
39,1312,981,6767264,5162729
40,1184,905,6405120,4869047
41,1440,973,7690720,5135663
42,1280,1008,7066784,5611958
43,1344,900,7359040,4859455
44,1312,934,7418688,5186969
45,1248,908,6662048,4908777
46,1408,904,7663584,4870944
47,1408,940,7208416,4958699
48,1344,981,7425536,5427509
49,1376,982,8059648,5574059
50,1632,983,8827616,5405799
51,1312,915,7095488,4974664
52,1376,904,7250368,4880421
53,1216,892,6650784,4917556
54,1216,944,6579936,5079385
55,1408,989,7842624,5495160
56,1408,993,7351200,5278381
57,1248,929,6946784,5206265
58,1376,968,7652256,5317243
59,1312,971,7057024,5367595
60,1280,946,7174080,5355361
61,1216,973,6750496,5382667
62,1344,1001,7316576,5339318
63,1280,958,6857760,5236706
64,1280,977,6798048,5187329
65,1344,930,7597760,5121528
66,1440,994,7638336,5320372
67,1216,922,6774304,5207375
68,1184,928,6753216,5303906
69,1376,978,7111232,5133621
70,1312,914,6979616,4881045
71,1248,905,6944960,5020577
72,1248,958,6762592,5261260
73,1248,922,6575456,4802807
74,1280,970,6572256,4992047
75,1344,925,7492768,5328702
76,1472,961,7981184,5137807
77,1344,963,7142880,5198748
78,1376,939,7418528,4942273
79,1376,947,7571584,5200403
80,1376,984,7279392,5201861
81,1312,941,7203392,5021061
82,1440,964,7563744,4963684
83,1280,966,6502240,4985071
84,1376,909,7221728,4920989
85,1280,936,6959072,4997506
86,1312,948,7001632,4956862
87,1312,945,7288064,5248469
88,1408,921,7385504,4859758
89,1216,935,6186816,4871517
90,1440,920,7641856,4782932
91,1184,968,6179552,4918737
92,1184,927,6693920,5007440
93,1600,985,8527456,5172309
94,1440,983,7573440,5093998
95,1248,981,6817440,5325219
96,1216,931,6775872,5162904
97,1216,955,6646720,5215513
98,1408,960,7693216,5367996
99,1184,957,6515072,5259987
100,1184,901,6633152,5075612
101,1248,924,6721760,5060720
102,1344,941,7495232,5335592
103,1312,967,7242400,5376239
104,1248,996,6849792,5506384
105,1280,972,7018752,5286623
106,1344,928,7411648,5087833
107,1216,936,6735488,5234150
108,1536,1042,7976448,5515395
109,1280,910,7187264,5173636
110,1472,953,8034816,5324469
111,1280,1025,7058848,5715139
112,1472,954,8483872,5451487
113,1376,987,7592896,5538044
114,1312,1011,7225792,5394437
115,1184,966,6231488,5095160
116,1312,978,7105728,5199395
117,1216,878,6912736,4974705
118,1280,957,7143264,5432364
119,1216,950,6669152,5062999
120,1344,950,7391232,5051824
121,1344,961,7404352,5246396
122,1216,942,6354400,4959755
123,1248,942,6659904,5090445
124,1408,977,7671008,5256689
125,1376,992,7568256,5311244
126,1344,895,7506016,4938252
127,1376,1015,7440640,5436623
128,1184,945,6667712,5265307
129,1312,993,6948800,5240359
130,1216,925,6741248,5089642
131,1408,941,7620096,5259848
132,1312,951,7055904,4998654
133,1280,916,7262656,5315882
134,1408,950,7447904,5142728
135,1248,946,6875776,5132043
136,1408,963,7261152,4902707
137,1440,999,7608896,5290354
138,1376,979,7212832,5041263
139,1408,987,7459936,5257787
140,1248,979,6746816,5174832
141,1408,927,7437152,4909715
142,1472,989,8064064,5474736
143,1280,940,6924544,5122570
144,1536,942,8411520,5090547
145,1216,931,6582464,5026699
146,1248,945,6982176,5251125
147,1504,992,8019456,5343884
148,1312,996,7315328,5590868
149,1280,964,6780128,5144256
150,1408,925,7676448,5112947
151,1312,950,6874848,5019619
152,1408,969,7769792,5308484
153,1344,1006,7162336,5448106
154,1472,1029,7964992,5478503
155,1376,962,7543872,5402679
156,1280,940,7169248,5350979
157,1344,928,7127424,5016769
158,1184,957,6417792,5114747
159,1344,946,7400128,5307578
160,1568,999,8608032,5439302
161,1280,958,6528288,4841427
162,1440,939,8171808,5391572
163,1504,1026,8224832,5561995
164,1344,1011,7091968,5435359
