i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,96,92,438260,422132
1,104,87,461004,392082
2,100,75,473940,363382
3,88,80,409396,375968
4,92,85,412840,380931
5,88,80,389476,358123
6,100,91,447260,402339
7,112,90,510252,402682
8,92,79,384752,337079
9,100,88,423096,378000
10,92,77,401588,336555
11,96,90,427644,395417
12,88,74,380460,324923
13,92,80,387780,343939
14,88,78,385472,345519
15,112,92,486276,399655
16,88,71,384560,317024
17,88,76,380968,335305
18,92,77,397284,339787
19,88,74,380324,325416
20,104,86,462472,379491
21,92,74,405004,328876
22,72,70,323340,314838
23,92,77,431400,365719
24,88,76,408616,347738
25,88,79,408296,375267
26,88,72,397472,331698
27,104,95,471108,436114
28,92,74,419500,342181
29,112,85,530216,406406
30,92,83,430788,392114
31,92,67,435036,331468
32,96,90,433068,407016
33,100,93,464144,425815
34,96,79,425628,359026
35,92,79,433692,372638
36,104,86,471040,388351
37,92,77,409812,349211
38,104,75,452692,340449
39,112,97,486072,426684
40,100,86,434744,380452
41,108,93,473280,417012
42,100,80,442520,365233
43,92,83,430376,394150
44,112,83,507980,381467
45,100,87,468756,416669
46,92,82,406780,367254
47,92,79,409096,358134
48,88,81,391820,363230
49,88,79,391868,357143
50,84,74,373004,333743
51,88,80,388024,356486
52,84,77,353544,325763
53,76,69,345600,317020
54,100,84,431616,360451
55,108,89,449664,371627
56,100,78,419404,331665
57,84,78,372160,347410
58,100,86,442388,386356
59,88,73,389108,327718
60,92,88,391208,370336
61,96,81,396108,337922
62,80,73,354540,326239
63,92,80,415672,367001
64,88,82,382912,353656
65,80,73,363592,335602
66,96,82,398524,342870
67,92,79,363676,314953
68,104,81,458888,356855
69,92,83,415508,381161
70,84,73,379804,336614
71,96,78,375212,304525
72,84,74,363320,321527
73,96,83,423960,372944
74,96,92,419428,397091
75,100,84,431840,367397
76,88,81,383708,355454
77,84,79,371572,351624
78,92,79,412380,359809
79,96,77,436904,352052
80,92,78,409752,356026
81,92,79,386888,334013
82,80,69,355424,311191
83,84,78,354268,330226
84,92,82,411312,362994
85,100,82,435320,360822
86,100,87,431300,371993
87,92,87,408504,388637
88,100,87,439480,384732
89,100,87,442524,391449
90,88,81,392712,365781
91,88,84,410032,387884
92,80,76,348504,326468
93,88,78,386884,335366
94,96,79,398220,325598
95,84,75,381464,335829
96,100,82,403316,329283
97,116,83,466616,323071
98,80,71,325932,290239
99,80,77,319144,307259
100,88,78,348748,310118
101,104,88,431548,372180
102,92,75,378512,313009
103,84,79,345316,325913
104,92,75,384180,316617
105,96,84,394340,346904
106,100,81,404768,326134
107,96,84,376832,328894
108,80,68,292564,248201
109,88,76,343476,297741
110,84,78,350188,325535
111,92,84,404700,367821
112,92,83,375516,339818
113,80,73,344336,316871
114,104,87,422212,348429
115,88,82,371712,348512
116,92,76,378316,312836
117,92,81,373244,330511
118,88,78,370732,331890
119,84,82,353388,344326
120,88,73,364248,305577
121,76,72,298644,282739
122,92,76,371852,301987
123,76,67,324208,272203
124,100,88,413064,364440
125,96,88,410428,378201
126,100,75,411980,316521
127,84,72,336348,287706
128,92,78,370196,308666
129,76,60,326956,264953
130,92,82,391960,351809
131,88,80,353020,322272
132,92,82,354472,311114
133,100,93,399116,370513
134,100,90,426488,381162
135,100,84,439432,375807
136,96,87,386656,345485
137,88,81,338912,309374
138,80,75,329072,302794
139,100,89,420008,372536
140,92,71,365852,283562
141,80,77,342036,329268
142,100,81,443276,357762
143,96,84,414872,365605
144,100,90,404380,365180
145,80,75,353104,332473
146,92,79,398088,341751
147,96,74,395112,309613
148,100,85,417720,358721
149,80,73,342012,313121
150,96,83,411940,362212
151,100,82,431328,359146
152,96,86,384580,343837
153,96,79,408748,341841
154,108,86,444600,360520
155,96,83,398244,345851
156,88,77,390608,333245
157,88,83,367136,336530
158,96,78,406480,335079
159,88,76,361088,303505
160,100,79,430092,348300
161,100,87,411064,353405
162,100,89,393396,349890
163,84,82,371332,362266
164,112,92,502528,403703
165,72,69,289700,276550
166,92,78,362404,308640
167,100,82,413696,335962
168,88,84,362596,342954
169,96,76,402980,317171
170,92,78,399272,346507
171,104,79,412836,311850
172,88,73,350384,293668
173,80,64,343432,280985
174,92,82,374012,335668
175,104,84,434852,360053
176,92,77,404708,342231
177,104,87,413640,342744
178,100,86,425992,365539
179,92,80,388008,338709
180,108,89,469680,393205
181,100,70,420628,287491
182,100,79,432696,343558
183,88,74,354872,302290
184,96,76,410416,314431
185,104,78,426620,329199
186,96,85,396956,347942
187,88,77,377920,323004
188,88,79,391524,352908
189,84,73,362640,313388
190,112,94,472900,398897
191,84,76,375712,337942
192,88,80,373124,340988
193,108,89,447328,371100
194,84,80,359052,341912
195,100,86,431052,359528
196,104,88,412496,353697
197,96,84,400296,352587
198,76,75,294712,289710
199,92,85,423492,392657
200,88,77,363176,320104
201,96,80,397752,329682
202,100,81,421796,339405
203,88,80,379508,347695
204,96,82,417428,355023
205,100,82,403072,325925
206,96,84,384104,336805
207,80,77,317040,304229
208,96,79,398200,331542
209,104,81,450608,355929
210,100,88,406556,361309
211,92,73,377816,300487
212,100,89,399832,356349
213,88,81,371304,340933
214,88,79,367584,332442
215,92,82,382900,344517
216,96,81,404680,342293
217,100,89,405028,362493
218,84,74,328400,290602
219,92,82,379016,330044
220,104,85,417420,345383
221,92,82,378228,338742
222,88,75,358476,310060
223,84,80,332292,309250
224,88,74,388012,329373
225,92,82,396160,347287
226,96,85,397200,343994
227,92,81,376736,329037
228,100,87,448696,400583
229,88,80,349620,318415
230,100,83,415140,350800
231,84,71,340988,289549
232,100,85,413524,348259
233,80,72,333780,293032
234,96,76,358108,280641
235,100,81,425876,339421
236,84,80,375704,359496
237,92,80,363192,315824
238,84,72,374116,323602
239,92,74,411636,337658
240,92,87,407616,388050
241,92,75,410652,332159
242,76,69,317324,289539
243,96,78,427204,351218
244,96,76,418460,340119
245,80,64,329936,268090
246,100,75,417908,320908
247,88,80,349908,309883
248,88,81,366036,333346
249,96,88,394904,362602
250,92,84,380448,349718
251,108,86,448136,353221
252,80,76,342988,325747
253,88,80,383344,352206
254,92,76,357004,297414
255,92,79,397224,344961
256,100,84,405576,346332
257,100,87,442852,390144
258,96,74,399548,315010
259,96,87,428228,387866
260,120,78,505392,329956
261,100,85,435928,364413
262,80,79,347308,342076
263,80,72,352956,320141
264,88,81,363000,337429
265,108,91,460244,395597
266,84,70,357360,299822
267,88,81,364560,337365
268,88,80,362648,333450
269,88,78,378956,340367
270,108,93,461332,393724
271,84,70,365048,309674
272,88,82,370228,342455
273,96,79,416420,332505
274,88,74,352188,299358
275,100,85,412368,344128
276,104,89,420568,355333
277,96,77,395164,318544
278,80,75,361480,340545
279,84,78,354108,325647
280,92,79,401396,348330
281,104,85,417600,338761
282,88,72,359792,294667
283,92,75,365504,298651
284,88,80,349376,318027
285,88,73,409384,346296
286,84,77,342584,313929
287,100,81,422364,350744
288,100,77,467496,364971
289,104,88,418244,353499
290,88,82,347884,325024
291,92,73,368008,291603
292,84,76,371244,339140
293,104,87,419728,348182
294,92,86,399000,374249
295,88,70,381924,305114
296,108,90,449752,381699
297,92,79,387640,331077
298,96,79,384104,308643
299,100,80,424184,342607
300,88,83,358168,336327
301,100,88,400604,351893
302,80,76,332540,316567
303,96,77,386932,312161
304,80,78,308236,299425
305,104,80,414260,325823
306,80,76,350368,333658
307,88,77,350856,307498
308,80,73,336156,294962
309,100,80,437844,357241
310,88,81,380020,351993
311,108,90,448284,372121
312,96,81,395052,333646
313,104,87,402096,337462
314,100,89,399948,357019
315,100,90,432684,392943
316,80,75,356524,335367
317,100,85,389532,333655
318,84,78,348424,322339
319,88,75,374932,319247
320,104,81,411972,316014
321,84,78,343244,313636
322,88,71,350296,284833
323,100,79,397756,317890
324,100,81,432880,346526
325,88,72,352528,285365
326,100,93,405032,378560
327,104,90,421748,365587
328,100,77,409064,311568
329,80,76,361380,343212
330,72,63,299540,264070
331,92,76,397604,328183
332,96,89,407588,378397
333,88,85,359480,347291
334,104,92,421348,374723
335,88,84,364692,347912
336,84,73,355488,311662
337,92,74,382676,303957
338,104,87,478896,395960
339,84,81,353788,342078
340,88,85,371108,358469
341,88,79,357468,323058
342,88,79,366036,330529
343,88,74,387044,330464
344,104,87,462904,393990
345,80,71,351164,315928
346,88,83,329240,302653
347,92,76,406640,335133
348,104,91,464832,410998
349,80,76,338600,320698
350,92,85,384900,356916
351,96,85,393984,349295
352,100,83,434812,362395
353,100,81,412016,339098
354,104,87,401852,336601
355,80,71,341036,305263
356,92,82,399736,360640
357,88,75,364116,308101
358,100,91,429372,394114
359,100,87,417780,367151
360,96,82,394584,340848
361,108,89,442312,368458
362,80,69,320448,278413
363,96,76,404076,314118
364,88,75,366696,316220
365,88,78,363452,324287
366,96,78,397340,328658
367,92,74,394744,318102
368,92,76,385816,325104
369,104,80,425472,317921
370,100,86,416476,353231
371,92,84,393372,362074
372,92,74,388672,305060
373,100,83,440552,366450
374,92,81,357772,312087
375,92,74,378104,311184
376,96,81,427772,356876
377,88,83,374784,354476
378,92,86,404024,374702
379,92,83,386752,348703
380,112,96,456704,392094
381,84,79,348756,328767
382,100,90,418996,381271
383,100,89,438360,397564
384,92,71,379276,300416
385,104,78,415280,310629
386,88,73,366380,310498
387,92,83,382392,346701
388,84,74,343212,305313
389,84,76,304660,274844
390,92,70,375788,289888
391,100,95,452156,427853
392,92,84,379320,344929
393,88,73,364476,306892
394,100,84,409520,347858
395,96,89,386444,358496
396,96,84,389800,340007
397,88,78,360680,320061
398,84,75,330500,295832
399,100,86,436248,372202
400,96,76,405648,308804
401,92,75,403348,337480
402,92,84,367516,335331
403,108,89,436240,361968
404,100,86,413076,355763
405,80,67,338924,288753
406,96,84,399512,344857
407,96,85,376744,334279
408,80,70,320744,281559
409,88,79,359480,324320
410,76,73,325824,313235
411,96,81,383192,316667
412,88,70,363996,294413
413,96,83,361340,309030
414,100,74,412992,314747
415,100,91,434508,398532
416,92,74,356240,283411
417,88,73,350352,292580
418,88,84,369464,352866
419,80,65,328572,271071
420,96,76,371648,298303
421,104,90,434560,376704
422,92,71,369788,275026
423,92,88,345324,329239
424,88,77,389668,346711
425,88,65,379852,275663
426,96,78,396112,311684
427,96,86,401116,355861
428,96,73,424424,321681
429,88,80,370100,338923
430,92,73,380408,307954
431,88,77,357296,317044
432,104,85,445228,355976
433,88,69,356176,280623
434,108,87,475568,387437
435,100,74,422032,320530
436,96,78,433520,365153
437,84,79,332432,310313
438,100,79,435084,350521
439,92,81,399200,353551
440,96,86,422140,382781
441,104,77,474328,361051
442,96,83,395916,345376
443,84,78,342008,318186
444,100,84,438012,365269
445,92,78,382292,326752
446,92,76,434568,367691
447,88,78,344880,305002
448,84,81,377072,364351
449,84,76,354096,323504
450,76,62,330096,271533
451,100,86,439120,376044
452,100,88,425120,379027
453,92,86,361484,338739
454,112,89,478112,386728
455,92,83,395268,355800
456,80,75,324404,304165
457,96,84,402276,346375
458,96,74,388692,301122
459,108,85,434072,334583
460,84,74,356688,306236
461,68,62,309060,283020
462,92,83,388568,351165
463,96,90,433124,409361
464,92,79,395988,342110
465,96,84,430328,377209
466,100,83,388580,323984
467,104,92,431396,383347
468,76,71,328316,303767
469,92,84,364240,332538
470,96,77,390872,319740
471,92,82,384224,345800
472,92,87,388872,368203
473,76,67,328680,292042
474,96,78,398068,319894
475,92,79,392696,325782
476,104,79,431004,340398
477,100,90,413228,375069
478,96,75,422164,341243
479,104,81,429212,330084
480,92,79,378288,320226
481,92,85,362300,334924
482,84,80,349804,332189
483,84,71,339700,288364
484,84,71,361024,305148
485,84,76,339132,308223
486,92,74,388392,316165
487,92,74,408804,339517
488,112,84,460048,342534
489,88,81,372756,345850
490,84,71,364872,312849
491,92,81,408064,363714
492,92,74,376812,309433
493,76,69,318652,287322
494,92,84,385700,354416
495,96,82,391232,336998
496,96,74,409936,322277
497,104,95,410180,376289
498,88,80,359440,327668
499,88,80,364496,327649
500,96,89,437216,407722
501,104,77,459588,332737
502,104,91,413384,361667
503,80,73,329720,302041
504,88,81,368388,339134
505,80,73,313544,284992
506,104,86,426952,353942
507,80,75,343644,321138
508,104,78,413636,301509
509,88,77,386904,334749
510,104,84,406116,324841
511,100,81,430116,354491
512,76,73,349200,337042
513,100,79,392176,311486
514,100,87,422920,364955
515,88,83,354684,333530
516,84,78,347844,322933
517,104,86,442824,372996
518,96,81,416464,353455
519,96,81,416820,355993
520,100,98,416104,407017
521,80,65,331476,270937
522,84,75,348944,312754
523,96,80,383268,322054
524,92,75,409276,337053
525,104,80,446280,343332
526,80,71,337284,300898
527,92,80,373116,328610
528,108,86,465828,373260
529,88,81,374964,345505
530,92,72,361008,283081
531,104,83,432360,349519
532,72,64,309196,275357
533,108,90,452316,382166
534,112,83,466312,345580
535,96,84,420668,369318
536,112,82,458320,339689
537,80,72,370564,337584
538,100,91,403620,368140
539,80,69,339492,296046
540,92,85,364552,337337
541,84,79,345880,325851
542,104,83,433204,345308
543,92,81,378784,335788
544,84,75,382592,346191
545,92,81,361012,319209
546,96,75,380388,300176
547,108,87,457084,373912
548,84,80,362808,346834
549,84,74,373268,322407
550,92,77,407124,347000
551,100,84,446980,378228
552,88,72,358276,288851
553,88,82,395216,367665
554,100,83,425680,346461
555,76,71,347388,323832
556,112,83,474648,362085
557,72,66,323424,298770
558,96,87,410184,375914
559,100,73,399916,291239
560,88,76,376480,320244
561,84,78,365340,340657
562,104,80,438276,337320
563,92,84,362148,332580
564,92,79,389640,338393
565,88,77,358972,316606
566,108,80,469140,357219
567,88,76,345716,300061
568,84,81,337252,325317
569,92,85,373128,341051
570,84,68,359756,296474
571,88,76,344708,298855
572,88,85,344260,331735
573,76,70,323408,299385
574,80,67,331804,282958
575,104,91,420428,368799
576,108,85,439708,346110
577,108,78,457484,336615
578,96,85,355600,315098
579,100,82,445856,377436
580,84,69,367700,309159
581,88,83,371776,350894
582,108,90,439968,363951
583,112,94,457132,382008
584,100,89,406712,362816
585,96,82,401124,344821
586,88,78,401828,358492
587,88,70,358736,286754
588,96,83,401488,351357
589,88,84,393164,376942
590,100,86,405736,350003
591,108,84,434408,341311
592,96,82,399624,343924
593,92,75,373384,308507
594,84,80,348780,329908
595,92,84,365064,334187
596,88,81,406636,367256
597,88,79,362272,324748
598,84,76,329760,299117
599,76,69,313428,278354
600,100,83,428212,362614
601,88,78,377732,335642
602,108,86,477324,378752
603,96,80,390112,329038
604,76,66,351536,310984
605,108,82,449260,337012
606,116,89,514488,398242
607,96,89,400260,371163
608,80,76,336836,317850
609,96,83,413908,358757
610,84,73,368956,323576
611,76,72,324492,308421
612,92,78,388164,331348
613,112,91,452824,368922
614,112,86,445140,338017
615,112,84,459264,347939
616,84,66,345168,276345
617,96,86,401948,354545
618,84,72,338004,285290
619,88,78,370216,329088
620,100,87,394216,344001
621,96,85,394056,351019
622,104,88,431392,369754
623,80,73,344380,317053
624,100,80,418128,328544
625,96,81,392960,337101
626,88,84,364856,348877
627,100,77,409204,313156
628,96,89,406172,377603
629,88,74,413760,345966
630,84,76,328752,298410
631,80,72,348924,310446
632,100,83,411660,346205
633,100,81,404136,331712
634,92,85,386916,351591
635,80,76,337612,321244
636,88,79,366020,330445
637,88,80,395816,360356
638,100,84,415128,351764
639,92,80,399336,352497
640,88,80,353356,324026
641,84,79,360368,335577
642,108,87,441676,364161
643,84,76,344936,310363
644,92,74,395412,325593
645,96,76,408196,320870
646,88,81,402188,373049
647,88,74,342916,289290
