i,sim_simt,sim_mimt,mea_simt,mea_mimt
0,896,359,3736848,1556982
1,1344,478,5428816,1973568
2,800,252,3353744,1133870
3,1152,311,4865184,1375380
4,848,347,3483328,1500841
5,1696,368,7048016,1590878
6,880,249,3613840,1097473
7,1328,216,5586160,985495
8,1360,341,5469520,1463877
9,1216,471,5012208,2010681
10,1616,271,6592160,1192335
11,1216,358,5126720,1572636
12,624,253,2654608,1133513
13,976,248,3973696,1115683
14,1200,283,4983024,1283706
15,1376,364,5575568,1557177
16,1232,384,5062560,1648868
17,736,266,2971568,1131988
18,1008,343,4166512,1488942
19,944,331,4081776,1498907
20,544,178,2256000,807073
21,496,237,2155872,1057058
22,800,365,3300144,1561048
23,1360,312,5535872,1323943
24,1216,359,4891088,1519116
25,560,185,2323248,821160
26,816,240,3484080,1105869
27,1424,312,5910608,1362030
28,976,354,4135776,1578633
29,384,155,1685520,712970
30,960,226,3976832,1021587
31,944,326,4084944,1461537
32,1456,471,5895888,1963123
33,1856,356,7839280,1584707
34,912,374,3901120,1658762
35,864,248,3579328,1090313
36,1104,369,4695920,1622022
37,1424,335,5899760,1448336
38,768,245,3286176,1123889
39,1376,435,5658608,1842992
40,2000,316,8199104,1406194
41,944,310,3895568,1329049
42,880,235,3689392,1051077
43,1216,452,5157616,1979487
44,912,289,3859824,1286487
45,1680,413,7062640,1819221
46,1008,249,4214480,1101014
47,640,274,2671088,1197877
48,736,200,2914544,803138
49,1264,285,5149488,1156982
50,1824,392,7339968,1569192
51,2368,373,9627872,1528097
52,912,355,3535264,1376091
53,1568,367,6344912,1501348
54,976,220,3805792,853982
55,448,196,1813232,803175
56,576,193,2368496,788221
57,816,342,3382864,1428703
58,1152,422,4985888,1836325
59,1664,352,6717344,1448345
60,1712,346,7004256,1418002
61,1072,278,4391056,1143692
62,1200,324,4969872,1401903
63,768,255,3112576,1015936
64,400,211,1675680,889091
65,1744,344,7091088,1433055
66,1264,359,5173808,1442110
67,752,252,3069664,1027086
68,736,312,3069760,1281126
69,912,404,3754096,1646055
70,560,180,2328256,754772
71,976,258,4157024,1106945
72,736,298,3069920,1264931
73,1344,396,5422400,1608071
74,928,362,3909728,1555933
75,1760,483,7172352,2006597
76,880,241,3666912,1006338
77,1136,334,4643408,1394830
78,1088,368,4721440,1614372
79,720,296,2975680,1258468
80,880,386,3769328,1661184
81,1008,293,4088240,1203159
82,800,338,3332320,1394065
83,800,307,3414960,1308575
84,816,349,3354576,1436894
85,1088,291,4486080,1198320
86,1840,427,7507472,1757211
87,1088,284,4369952,1116093
88,960,248,3896080,1002036
89,704,257,2821632,1046732
90,512,234,2114112,985124
91,1232,302,4984240,1250740
92,896,259,3618128,1090238
93,640,293,2685008,1244780
94,944,260,3841072,1084434
95,992,372,3932400,1518244
96,896,274,3764240,1156327
97,1184,250,4637024,1008048
98,1712,385,7057168,1604782
99,512,185,2108976,771054
100,1056,473,4387824,1985600
101,1552,319,6152224,1276896
102,1856,369,7705104,1553775
103,1312,438,5372880,1781416
104,656,258,2713728,1075299
105,1328,438,5359168,1728868
106,1376,459,5767600,1980458
107,1312,288,5473536,1233927
108,816,378,3384768,1574522
109,1152,364,4643376,1513618
110,848,447,3621376,1919488
111,720,271,2962912,1113907
112,736,286,3200048,1267181
113,592,133,2536640,615723
114,1072,277,4343568,1168974
115,1648,582,6777840,2423596
116,992,363,4167152,1529672
117,1120,403,4559200,1699358
118,976,305,4028832,1281068
119,608,242,2492320,974793
120,912,389,3817840,1618439
121,1120,314,4606800,1320376
122,816,283,3370432,1198186
123,1664,298,6870208,1276299
124,1200,360,4820992,1463454
125,784,261,3292352,1096864
126,1296,379,5220784,1553431
127,640,286,2613808,1172367
128,944,308,4039280,1313731
129,752,250,3092848,1028537
130,1216,246,4896672,999086
131,800,284,3301344,1178198
132,816,337,3325488,1367574
133,1520,373,6246640,1575985
134,1024,393,4207568,1626842
135,544,229,2312384,973466
136,896,340,3551104,1379636
137,1328,281,5577728,1190675
138,1136,223,4680976,909811
139,784,370,3286800,1547459
140,1472,391,5885728,1584994
141,1088,362,4441888,1514703
142,1280,407,5197968,1672594
143,1600,438,6681280,1833432
144,752,254,3226448,1099962
145,736,281,3030592,1173581
146,608,250,2436176,1014022
147,1440,440,5712048,1728758
148,1008,465,4021520,1867709
149,880,328,3605856,1337157
150,1040,324,4304448,1358517
151,1376,319,5696544,1343950
152,1328,450,5272352,1805983
153,768,241,3107056,993120
154,1760,296,7164272,1216931
155,1136,242,4862080,1081214
156,1488,426,6158240,1741530
157,1472,525,6034400,2162826
158,1168,389,4948576,1657906
159,1152,346,4508288,1384283
160,1584,316,6360704,1284064
161,1056,207,4206944,825087
