n,d,p
0,1,7.667676449817239e-53
1,1,0.00019421882012531972
236,235,6.500941303949364e-24
232,231,9.56038219745229e-23
228,227,1.3126503901528448e-21
224,223,1.6806475515492012e-20
220,219,2.0040954348876988e-19
216,215,2.2228758531950456e-18
212,211,2.2902734490711684e-17
208,207,2.1889370486929158e-16
204,203,1.9378870478612085e-15
200,199,1.586806511023215e-14
196,195,1.199899985187258e-13
192,191,8.365453828579467e-13
188,187,5.368167491491829e-12
184,183,3.165136501182656e-11
180,179,1.711565147106164e-10
176,175,8.472247478176559e-10
172,171,3.83124653762722e-09
168,167,1.579464021681519e-08
164,163,5.923200676508228e-08
160,159,2.015965006546324e-07
156,155,6.212158834987018e-07
152,151,1.7287609749924693e-06
148,147,4.33313724954598e-06
144,143,9.754951160055056e-06
140,139,1.9665981538672384e-05
136,135,3.5392697022220394e-05
132,131,5.6673408153236866e-05
128,127,8.046112666875926e-05
124,123,0.00010090500760387326
120,119,0.00011133559561211086
118,117,3.174626336761902e-23
116,115,0.00010762440909170695
114,113,6.1913343402208064e-21
112,111,9.073561478204247e-05
110,109,9.118634228739083e-19
108,107,6.639427385652458e-05
106,105,1.0039031951762118e-16
104,103,4.194790222348597e-05
102,101,8.171423718481552e-15
100,99,2.2755442332978163e-05
98,97,4.859594940008294e-13
96,95,1.0534930293940087e-05
94,93,2.0846383758626514e-11
92,91,4.135430277359569e-06
90,89,6.361317130078032e-10
88,87,1.3696399406844416e-06
86,85,1.3600925208576784e-08
84,83,4.320067608369474e-07
82,81,2.004016228885284e-07
80,79,7.515334113424601e-07
236,233,1.231783911736072e-22
78,77,1.9982444252541775e-06
232,229,1.749974848009237e-21
76,75,5.43297238065013e-06
224,221,2.8656908140081812e-19
74,73,1.321606861111513e-05
220,217,3.294955572225955e-18
72,71,2.89421558512981e-05
212,209,3.4936849091443363e-16
70,69,5.6703580103171285e-05
208,205,3.2128731570260045e-15
68,67,9.909985370051948e-05
200,197,2.1513570052783556e-13
66,65,0.00015396275881629482
196,193,1.5616031696108765e-12
64,63,0.00021188100664557504
188,185,6.420924782878825e-11
62,61,0.0002573077693898769
184,181,3.624432975687603e-10
60,59,0.0002746296792772165
59,58,4.0298757281731964e-22
176,173,8.865736305496218e-09
58,57,0.00025650484166856905
172,169,3.8265639029701846e-08
57,56,7.326339377572785e-20
56,55,0.00020884231420244782
55,54,1.0032902566134947e-17
164,161,5.37102674677596e-07
54,53,0.00014717397371537844
160,157,1.7386578200902809e-06
53,52,1.0242102864246716e-15
52,51,9.457799665530553e-05
51,50,7.707407430910408e-14
152,149,1.3434393621219312e-05
50,49,4.664865724227288e-05
148,145,3.189670475360199e-05
49,48,4.2240745789648075e-12
48,47,8.863485511558203e-05
236,231,1.1761547791367187e-21
47,46,1.6640722760570037e-10
140,137,0.00012929290307146882
232,227,1.6133263931845983e-20
46,45,7.789085957132335e-06
228,223,2.0635692561448005e-19
136,133,0.00021935607109993635
45,44,4.6457202961809725e-09
224,219,2.4581848246461056e-18
44,43,0.000333013191288538
216,211,2.8031152777016995e-16
43,42,9.049830015935383e-08
128,125,0.00044074817164108934
212,207,2.676016232553772e-15
42,41,9.947909139788441e-07
208,203,2.3662818097953686e-14
124,121,0.0005180911557083316
41,40,1.2093859514612812e-06
204,199,1.9351919493928398e-13
40,39,0.0005386155732218937
118,115,3.1668521446366e-21
196,191,1.017530119527449e-11
39,38,1.0882459847130462e-05
116,113,0.00048227693540761813
192,187,6.520436255778565e-11
38,37,2.7991641849686946e-05
188,183,3.838926484213542e-10
112,109,0.000378468330990882
37,36,6.459263259989791e-05
184,179,2.0727634909845106e-09
110,107,6.816885863639323e-17
36,35,0.00039079343162970736
106,103,6.4439175760842014e-15
176,171,4.624697407722858e-08
35,34,0.00024717516663238636
104,101,0.00015035992513355708
172,167,1.9032534508258213e-07
34,33,0.0004069259859814959
236,229,8.027817678543555e-21
168,163,7.124438053744615e-07
100,97,7.526994956690566e-05
232,225,1.0625653078130635e-19
33,32,0.0005944410810739602
164,159,2.4201671457485877e-06
98,95,2.257246874771248e-11
228,221,1.310603787340477e-18
32,31,0.0008071810281318419
