n,d,p
0,1,5.87932621390819e-105
1,1,3.8874439119679986e-09
472,471,1.0744636738603916e-47
464,463,2.3638165800310752e-45
456,455,4.534344859925678e-43
448,447,7.565829087077324e-41
440,439,1.0953814124044404e-38
432,431,1.3725491829804227e-36
424,423,1.4845337183532377e-34
416,415,1.3821477124436688e-32
408,407,1.1045312383136343e-30
400,399,7.553864710276413e-29
392,391,4.407428493221796e-27
384,383,2.1869005549404845e-25
376,375,9.196985813842857e-24
368,367,3.2667681753650184e-22
360,359,9.764850842627888e-21
352,351,2.447010590845625e-19
344,343,5.12038954607442e-18
336,335,8.909666413522949e-17
328,327,1.2835721800312484e-15
320,319,1.5240430903572494e-14
312,311,1.4842660535041255e-13
304,303,1.1797162534171758e-12
296,295,7.611923685163574e-12
288,287,3.964961338960715e-11
280,279,1.6575035566260202e-10
272,271,5.526366187529657e-10
264,263,1.459943268956051e-09
256,255,3.0346841741278967e-09
248,247,4.92668736751825e-09
240,239,6.197807425151736e-09
236,235,9.473188057868896e-47
232,231,5.991213844313335e-09
228,227,3.86175037236998e-42
224,223,4.4105098874330915e-09
220,219,9.000383938589942e-38
216,215,2.4489997782966155e-09
212,211,1.1752558603630017e-33
208,207,1.0151691351185613e-09
204,203,8.41284626515563e-30
200,199,3.1068609167071706e-10
196,195,3.2247685142072045e-26
192,191,6.936542898883888e-11
188,187,6.45321837937977e-23
184,183,1.1152688359244004e-11
180,179,6.558724815965287e-20
176,175,1.273290825965496e-12
172,171,3.2855832920644884e-17
168,167,1.0221482309839617e-13
164,163,7.851183167857822e-15
160,159,9.651580344500888e-14
472,469,6.1634817878209175e-46
156,155,8.633480877882385e-13
464,461,1.310132207167933e-43
152,151,6.6852656518082925e-12
448,445,3.907498529172412e-39
148,147,4.199244566315164e-11
440,437,5.455851397095e-37
144,143,2.1278626359765476e-10
424,421,6.862999379947259e-33
140,139,8.646643553732326e-10
416,413,6.14932874463005e-31
136,135,2.8000255350954603e-09
400,397,3.1056455778850147e-27
132,131,7.178054405700677e-09
392,389,1.739807911985378e-25
128,127,1.446532789667704e-08
376,373,3.3381992842311864e-22
124,123,2.274487334670926e-08
368,365,1.1354560229085107e-20
120,119,2.7683539832669115e-08
118,117,3.295859318425668e-45
352,349,7.776599657707166e-18
116,115,2.5862073094619252e-08
344,341,1.5535830814962117e-16
114,113,1.2531811980642173e-40
112,111,1.8377127109032795e-08
110,109,2.7174202808331275e-36
328,325,3.537952785559479e-14
108,107,9.836815776157996e-09
320,317,3.996718335401275e-13
106,105,3.292468021347343e-32
104,103,3.929019281878647e-09
102,101,2.180527218899745e-28
304,301,2.789635700580532e-11
100,99,1.1547166407094935e-09
296,293,1.7056629439854371e-10
98,97,7.708685072261865e-25
96,95,1.08806327750523e-09
472,467,1.5323180331443759e-44
94,93,1.4178813347349188e-21
280,277,3.3199796239218555e-09
464,459,3.146236307705175e-42
92,91,3.81050186002736e-11
456,451,5.625822747014136e-40
272,269,1.0439919768930736e-08
90,89,1.3196319789695365e-18
448,443,8.739300686015227e-38
88,87,2.5970061560319087e-08
432,427,1.3687655630674343e-33
86,85,6.029141585297541e-16
256,253,5.071968816359039e-08
424,419,1.3727152939042016e-31
84,83,3.265980026963377e-13
416,411,1.1833207746260863e-29
248,245,7.722308743731108e-08
82,81,1.3081496160469552e-13
408,403,8.742330756235783e-28
80,79,9.09164061749861e-08
236,233,6.407237571890974e-44
392,387,2.967296112826525e-24
78,77,1.2997548789124217e-11
232,229,8.205965895427853e-08
384,379,1.3544790516931833e-22
76,75,9.547576189224645e-11
376,371,5.2309990403397604e-21
224,221,5.626830503056361e-08
74,73,5.681285403008626e-10
368,363,1.703130523893435e-19
220,217,4.57934633222845e-35
72,71,3.174913695007692e-08
212,209,5.145114489166386e-31
352,347,1.0655762711138399e-16
70,69,1.0449702012963659e-08
208,205,1.1146557103601766e-08
344,339,2.0314261466671047e-15
68,67,3.190295468396218e-08
472,465,2.463736287103203e-43
336,331,3.213249808837507e-14
200,197,3.1507021763095698e-09
464,457,4.885137744426452e-41
66,65,7.6968249693345e-08
328,323,4.1983333518844216e-13
196,193,1.0264735472745985e-23
456,449,8.430289326139453e-39
64,63,1.4634681231704005e-07
440,433,1.638778763582559e-34
188,185,1.73400936454254e-20
312,307,3.9634627442708394e-11
62,61,2.1474905634042376e-07
432,425,1.8364668722003407e-32
184,181,9.550418851605356e-11
304,299,2.8350454551222744e-10
424,417,1.7726612044363322e-30
60,59,2.4449179596742136e-07
416,409,1.4696548039152632e-28
296,291,1.6415618163376919e-09
59,58,8.846700163675061e-43
176,173,9.963110898848726e-12
408,401,1.0434488065710823e-26
58,57,2.1315668205963273e-07
288,283,7.650223144439574e-09
172,169,6.147188965196039e-15
400,393,6.325017659147355e-25
57,56,2.9217896878778485e-38
56,55,1.6952708678704946e-07
55,54,5.4749703742929814e-34
384,377,1.4277414383386942e-21
164,161,1.2098074558969688e-12
272,267,8.452581450337809e-08
54,53,7.00769721838387e-08
376,369,5.280823518443787e-20
160,157,1.2706204144494289e-11
53,52,5.700786430150796e-30
264,259,1.9776870058239751e-07
368,361,1.6450940855783645e-18
472,463,2.99933398331669e-42
52,51,2.599774606331358e-08
464,455,5.74162116781306e-40
360,353,4.300119247921665e-17
256,251,3.6270746062844815e-07
51,50,3.225316176305201e-26
152,149,7.555497893654872e-10
352,345,9.394228568567337e-16
50,49,7.029131864619421e-09
448,439,1.381044366790616e-35
248,243,5.174427179906529e-07
148,145,4.256293866116151e-09
344,337,1.708221795899796e-14
49,48,9.678002638418364e-23
440,431,1.7265535080468852e-33
48,47,5.902233703875072e-07
236,231,9.680753498350601e-42
424,415,1.730270779255951e-29
47,46,1.5003672990950903e-19
328,321,3.2006496230116047e-12
140,137,6.983415349860865e-08
232,227,4.795101210851957e-07
416,407,1.3792116570784161e-27
46,45,1.955616720518084e-10
320,313,3.267584347456426e-11
228,223,2.9774332445005127e-37
136,133,2.0085367242624094e-07
45,44,1.1680163851472484e-16
224,219,3.059216779106593e-07
312,305,2.7255855939882946e-10
400,391,5.473836299824928e-24
44,43,4.556877790613579e-07
392,383,2.7082605363516923e-22
304,297,1.8478265642893382e-09
216,211,1.4643401427322755e-07
43,42,4.426562422247839e-14
472,461,2.993690727715919e-41
128,125,8.095101758655847e-07
212,207,4.997430454695765e-29
296,289,1.0125900534189349e-08
464,453,5.531329142339291e-39
42,41,2.000226790217933e-12
376,367,4.020964935897874e-19
208,203,5.202821025741031e-08
456,445,8.883514513642072e-37
124,121,1.1175023192403174e-06
288,281,4.459114246639784e-08
41,40,7.894145920071308e-12
368,359,1.198026262477627e-17
204,199,2.6106748598681716e-25
448,437,1.2370484111424176e-34
40,39,1.3594054827668867e-06
118,115,8.915038169397949e-41
432,421,1.5473399466111885e-30
196,191,7.209385024066274e-22
352,343,6.238619314236875e-15
39,38,6.382011747910325e-10
272,265,4.376907218873053e-07
116,113,9.663517584767577e-07
424,413,1.3823056717338707e-28
192,187,2.5624945948272584e-09
344,335,1.0815184946880096e-13
38,37,4.211332501969844e-09
416,405,1.0590256565420725e-26
264,257,9.62611468582647e-07
188,183,1.0248996858953727e-18
112,109,5.944398698735962e-07
408,397,6.937220977963825e-25
37,36,2.2445350392232102e-08
