n,d,p
0,1,3.486797417733712e-11
1,1,0.00017014113635416378
252,251,5.961613353389953e-26
248,247,1.9391733772238579e-25
244,243,6.2832482704072685e-25
240,239,2.0277423504733987e-24
236,235,6.516972720585927e-24
232,231,2.0855683796179455e-23
228,227,6.644865679628854e-23
224,223,2.1074917586840743e-22
220,219,6.652650875122629e-22
216,215,2.0897790565786265e-21
212,211,6.531403657257749e-21
208,207,2.030639002569414e-20
204,203,6.279050846037989e-20
200,199,1.9306366403594537e-19
196,195,5.901430923431055e-19
192,191,1.7929314818910457e-18
188,187,5.412686778087788e-18
184,183,1.6232731635502993e-17
180,179,4.83480947504921e-17
176,175,1.429709967128826e-16
172,171,4.1962436761236027e-16
168,167,1.2220016473027051e-15
164,163,3.5295988591684036e-15
160,159,1.0107750983238982e-14
156,155,2.868669195819248e-14
152,151,8.065124398132485e-14
148,147,2.2451207118146258e-13
144,143,6.18505616626223e-13
140,139,1.6853203054515378e-12
136,135,4.539373580723019e-12
132,131,1.2078192380880446e-11
128,127,3.1724435837137905e-11
126,125,2.0012639515110511e-25
124,123,8.21935673002928e-11
122,121,2.105060787297198e-24
120,119,2.0987898529187164e-10
118,117,2.1787596971280945e-23
116,115,5.277009388330118e-10
114,113,2.2165114011751127e-22
112,111,1.3051364950619404e-09
110,109,2.2137547017451388e-21
108,107,3.1716846708248776e-09
106,105,2.1677805908621837e-20
104,103,7.564080591118864e-09
102,101,2.0782178389412227e-19
100,99,1.7679186523644207e-08
98,97,1.947362080580624e-18
96,95,4.043424707415131e-08
94,93,1.780273617599594e-17
92,91,9.034017003296623e-08
90,89,1.5845864873278911e-16
88,87,1.9680235578963655e-07
86,85,1.3700039648293215e-15
84,83,4.171242323821934e-07
248,245,1.7440782530408702e-24
82,81,1.1475016204482336e-14
244,241,5.6396760855590336e-24
80,79,8.580841597827417e-07
236,233,5.824646765781717e-23
78,77,9.283124252568005e-14
232,229,1.8598516635040588e-22
76,75,1.7085189545899705e-06
224,221,1.870589944912471e-21
74,73,7.228193511207984e-13
220,217,5.8902331790407066e-21
72,71,3.2821237888384603e-06
212,209,5.752751360094882e-20
70,69,5.3951693988861314e-12
208,205,1.7836252943090387e-19
68,67,6.060977497856817e-06
200,197,1.6859121864559167e-18
66,65,3.8421191121505954e-11
196,193,5.137452794331093e-18
64,63,1.0713525736253128e-05
63,62,1.2253006089441856e-24
188,185,4.681108150307592e-17
62,61,2.5960537282962176e-10
184,181,1.3989734559983827e-16
61,60,1.2836511044596824e-23
60,59,1.8036808693243973e-05
59,58,1.3228738925610496e-22
176,173,1.2230068402460795e-15
58,57,1.65334872069452e-09
172,169,3.575308662503915e-15
57,56,1.3396037011511891e-21
56,55,2.875289902661965e-05
55,54,1.3313422243076881e-20
164,161,2.9817880117424794e-14
54,53,9.846351336021696e-09
160,157,8.5000352695802e-14
53,52,1.296790943771114e-19
52,51,4.3104683723840144e-05
51,50,1.2361247074941046e-18
152,149,6.715889291945345e-13
252,247,2.5129369106471238e-24
50,49,5.430657929507285e-08
248,243,8.141509011538762e-24
148,145,1.8596352570825805e-12
49,48,1.1511587373445353e-17
244,239,2.6271630963035224e-23
48,47,6.0301983960734496e-05
236,231,2.7014613598614873e-22
47,46,1.0453657042287326e-16
140,137,1.3800044484142563e-11
232,227,8.60610608427137e-22
46,45,2.741090630706746e-07
228,223,2.729164515736199e-21
136,133,3.69391285560351e-11
45,44,9.237123339167914e-16
224,219,8.613881348293783e-21
44,43,7.813464655485755e-05
216,211,8.454372216093048e-20
43,42,7.923069748430734e-15
128,125,2.546721703579649e-10
212,207,2.6280730193220183e-19
42,41,1.247400096431152e-06
208,203,8.125021959222674e-19
124,121,6.549365745409606e-10
41,40,6.578789085046065e-14
204,199,2.4977708171992013e-18
122,119,5.0002940010217e-23
40,39,9.352086045876991e-05
118,115,5.130162864822535e-22
196,191,2.3186985948444765e-17
39,38,5.27142707842683e-13
116,113,4.1367263751717816e-09
192,187,6.998416165075985e-17
38,37,5.021367819450208e-06
188,183,2.0983541574727934e-16
112,109,1.0139456357611347e-08
37,36,4.0613018656015435e-12
184,179,6.248278702220891e-16
110,107,5.112192755602865e-20
