n,d,p
0,1,4.6816763546921983e-97
1,1,1.730559496199469e-07
320,319,1.498129017498527e-94
312,311,4.786366991253838e-82
304,303,6.499957809553675e-72
296,295,3.145492573286004e-63
288,287,1.3122400534773725e-55
280,279,7.678167084124904e-49
272,271,8.571483497622141e-43
264,263,2.254997607428631e-37
256,255,1.6293756602907666e-32
248,247,3.6285674507067465e-28
240,239,2.7226738921917394e-24
232,231,7.384351576073737e-21
224,223,7.656747187527049e-18
216,215,3.1752855674954526e-15
208,207,5.46153822610855e-13
200,199,4.011526136357891e-11
192,191,1.287692388367436e-09
184,183,1.8390930441854634e-08
176,175,1.184295551795502e-07
168,167,3.470027816722026e-07
160,159,4.6501691500366913e-07
156,155,3.872968623756199e-80
152,151,2.8541354336674827e-07
148,147,1.2448286858779037e-61
144,143,8.00452724731346e-08
140,139,1.940565323761557e-47
136,135,1.0194972310158697e-08
132,131,4.057429722810859e-36
128,127,5.837538827265597e-10
124,123,4.926604988755025e-27
120,119,1.4811788811199664e-11
116,115,7.836406432173076e-20
112,111,1.6345183532231542e-13
108,107,2.6937005897586104e-14
320,317,2.5328867298847974e-90
104,103,4.167462958934916e-12
304,301,1.3064120757915469e-68
100,99,2.76013645742418e-10
296,293,3.4824927838562724e-60
96,95,8.008100050697162e-09
280,277,3.505570776574985e-46
92,91,1.0354308937365906e-07
272,269,2.7433849265900892e-40
88,87,6.04302388139865e-07
256,253,2.8368070292217898e-30
84,83,1.6057140623331568e-06
248,245,4.827545097350732e-26
80,79,1.951661900848732e-06
78,77,9.276641642298199e-77
232,229,6.016155879406385e-19
76,75,1.08609442243611e-06
224,221,4.968704667289943e-16
74,73,7.695159718824948e-59
72,71,2.759533422323404e-07
70,69,5.0512339261073755e-45
208,205,2.3045139026706588e-11
68,67,3.179981779743707e-08
200,197,1.3773551637776446e-09
66,65,5.446954626967512e-34
64,63,3.7775158476103286e-08
312,307,3.2733195062929734e-75
62,61,3.8063061866321e-25
184,181,4.230194824801021e-07
304,299,9.371614128928069e-66
60,59,3.758860650779277e-11
296,291,1.4247085930218498e-57
176,173,2.2377936973580843e-06
58,57,3.724413551771693e-18
288,283,2.32976876858881e-50
56,55,5.392427357733903e-06
272,267,3.416848580972312e-38
54,53,8.218160178603753e-13
160,157,5.944158436137296e-06
264,259,4.800789011258905e-33
52,51,1.0297627952839405e-10
256,251,1.954660894134682e-28
152,149,2.9987394926495357e-06
50,49,5.555077681349333e-09
248,243,2.5569851159682384e-24
148,145,2.291760351647916e-56
48,47,8.21865679819707e-07
140,137,6.562935596961728e-43
232,227,1.968337540118754e-17
46,45,1.3974147507809666e-06
320,313,2.9876039799334285e-83
136,133,7.192264325109621e-08
224,219,1.2989069493391514e-14
312,305,2.5935830653996605e-72
44,43,6.7011492013649045e-06
304,297,3.681087815791537e-63
216,211,3.486756639049978e-12
128,125,3.3571456285530815e-09
296,289,3.281885403732168e-55
42,41,1.4644111021836937e-05
208,203,3.934923071986506e-10
124,121,1.51531057732466e-23
288,281,3.463121000972111e-48
40,39,1.4657830653345502e-05
39,38,6.083772879453981e-71
272,265,2.4995365743103624e-36
116,113,9.193361880727648e-17
192,187,4.113157809058725e-07
38,37,6.693512131194531e-06
264,257,2.598893345601864e-31
112,109,6.684809541265817e-13
37,36,4.254983891883486e-54
184,179,3.950588023706884e-06
256,249,8.022068317418301e-27
36,35,1.3947263234654038e-06
320,311,4.004323440428799e-80
248,241,8.106907661358749e-23
176,171,1.7174234124022573e-05
35,34,5.47519282561754e-41
104,101,1.3309454981240396e-09
240,233,2.8953182463433014e-19
34,33,1.3142074579427068e-07
304,295,9.436044581472599e-61
