n,d,p
0,1,0.0
1,1,1.9754023899837086e-29
1280,1279,0.0
1248,1247,0.0
1216,1215,6.861912200466645e-291
1184,1183,9.663167060986072e-256
1152,1151,6.206484845610856e-225
1120,1119,1.3679489255516893e-197
1088,1087,3.680199590244807e-173
1056,1055,2.8780776927351535e-151
1024,1023,1.2250463529954537e-131
992,991,4.546170828212945e-114
960,959,2.1163467680394274e-98
928,927,1.6458461562439137e-84
896,895,2.687343759064514e-72
864,863,1.107169217277715e-61
832,831,1.334761509353236e-52
800,799,5.303571849220537e-45
768,767,7.633989945015344e-39
736,735,4.2838952690928976e-34
704,703,9.899726193429869e-31
672,671,9.78484517131346e-29
640,639,4.228953698018859e-28
624,623,0.0
608,607,8.048141049998281e-29
592,591,1.4550313802079313e-253
576,575,6.691119284887535e-31
560,559,1.3032970537131098e-195
544,543,2.3747680296059107e-34
528,527,1.942502576089809e-149
512,511,3.460742108406449e-39
496,495,2.308421560089399e-112
480,479,1.958241913558091e-45
464,463,6.519555334941766e-83
448,447,3.992876310030696e-53
432,431,3.5015544554999203e-60
1280,1277,0.0
416,415,3.794615740992147e-51
1216,1213,1.9602874419540582e-286
400,399,1.359332762751505e-43
1184,1181,1.4851116113728525e-251
384,383,1.7680420503373518e-37
1120,1117,8.44390359119282e-194
368,367,8.980522553146734e-33
1088,1085,1.5797288035339628e-169
352,351,1.880687457641325e-29
1024,1021,2.8294278279768416e-128
336,335,1.6856725532628225e-27
992,989,7.99322220105398e-111
320,319,6.607968992640287e-27
312,311,0.0
928,925,1.762299442902686e-81
304,303,1.1403388786158602e-27
896,893,2.2873738706962425e-69
296,295,1.1552690758213736e-249
288,287,8.59057289347782e-30
280,279,4.182377953741046e-192
832,829,7.365922828040228e-50
272,271,2.7592825530663096e-33
800,797,2.3792048359935714e-42
264,263,3.144464549053472e-146
256,255,2.8328747439909162e-36
1248,1243,7.4e-323
248,247,2.1216907600695678e-109
736,733,1.2858209074701363e-31
1216,1211,1.7720618197028734e-282
240,239,1.8526586422928767e-44
1184,1179,7.30196213337159e-248
704,701,2.4402934759061715e-28
232,231,3.654114060473254e-80
1152,1147,1.7542775415207413e-217
224,223,1.9834860705735452e-26
1088,1083,2.2047557501210707e-166
216,215,1.2526687264433743e-57
640,637,7.052342487996913e-26
1056,1051,9.03707942689682e-145
208,207,1.0974428071286273e-48
1024,1019,2.1358282108612304e-125
608,605,1.1035322975113466e-26
200,199,3.196576010118853e-41
992,987,4.6015964373119234e-108
592,589,3.904248719784557e-246
192,191,7.53232707715454e-29
560,557,5.781430964109116e-189
928,923,6.194837888911583e-79
184,183,1.4134200857977512e-30
1280,1273,0.0
544,541,2.1893380991036465e-32
896,891,6.39775182442416e-67
1248,1241,7.7963e-319
176,175,2.431051980373859e-27
1216,1209,8.018670045694837e-279
864,859,1.6977212697521274e-56
512,509,2.603630463064754e-37
1184,1177,1.8155340995164652e-244
168,167,1.7919079232402382e-25
832,827,1.3376100405305223e-47
496,493,8.488537269640421e-107
1152,1145,2.695471044769119e-214
160,159,5.778595868784731e-25
156,155,6.4528274e-317
1088,1081,1.579741015393786e-163
464,461,8.938140811350939e-78
768,763,3.3739046318280408e-34
152,151,8.198634624403599e-26
1056,1049,4.707525071231484e-142
448,445,1.9696302456737862e-51
148,147,7.492038646477454e-243
736,731,1.2713562426983545e-29
1024,1017,8.317709597561163e-123
144,143,5.070040534621859e-28
1280,1271,0.0
992,985,1.3690194720332774e-105
704,699,1.9818260629346772e-26
140,139,4.58888228442001e-186
416,413,1.3883117215844762e-46
960,953,2.977979816532164e-90
136,135,1.3334075431024026e-31
1216,1207,2.218238728554063e-275
672,667,1.3247207887135189e-24
400,397,3.2895453170588864e-39
928,921,1.128186780337138e-76
132,131,8.948372588516243e-141
1184,1175,2.785987728380767e-241
128,127,3.874588922199138e-24
624,619,3.21415561344e-313
1120,1111,1.101832330336182e-184
124,123,1.9693801393734283e-104
864,857,1.9783813484705886e-54
368,365,9.740503394260131e-29
608,603,4.984179564124024e-25
1088,1079,7.085590289769656e-161
120,119,5.9304764902854e-43
832,825,1.2612313167245964e-45
592,587,9.448489003184081e-240
352,349,1.3761567671798775e-25
1280,1269,0.0
116,115,1.2709107357794105e-75
576,571,2.7922824790101792e-27
800,793,2.6958006967595734e-38
1024,1015,2.0370821751487586e-120
1248,1237,1.9774609547385e-311
112,111,8.341926155163541e-24
1216,1205,4.197954475750049e-272
992,983,2.565561841796238e-103
768,761,2.1151614616278132e-32
544,539,6.644096097259896e-31
108,107,1.7837940086001465e-53
1184,1173,2.9508608031960425e-238
320,317,2.2128597098120867e-23
528,523,2.423582627721849e-138
736,729,6.533565308925962e-28
1152,1141,1.7044624339223546e-208
104,103,1.0231280081306047e-44
928,919,1.2972760066562695e-74
512,507,6.444620792826871e-36
1120,1109,4.90257161301827e-182
304,301,2.5807832484841837e-24
704,697,8.366369173662145e-25
100,99,1.972934634212481e-37
896,887,8.50491533696042e-63
496,491,3.0628608622526003e-102
1088,1077,2.2230724650185124e-158
296,293,8.554314327236537e-237
1280,1267,0.0
96,95,4.600449122309382e-23
1216,1203,5.8405336073566266e-269
280,277,9.245018764764995e-181
1024,1013,3.5050583022350594e-118
464,459,1.2141864186034083e-73
832,823,7.524359201839042e-44
92,91,3.914237864584753e-27
640,633,1.1064744184091118e-22
1184,1171,2.3171214756471214e-235
272,269,2.819299144129025e-30
992,981,3.383022439819164e-101
448,443,3.19190092983494e-50
624,617,2.922633226995342e-306
800,791,1.3091398667488845e-36
1152,1139,8.419988863736438e-206
88,87,4.5430286003740096e-24
960,949,4.4609760739492256e-86
608,601,1.1699004481088235e-23
432,427,1.0929554153345264e-51
1120,1107,1.632796770487655e-179
256,253,8.396373465072131e-31
592,585,5.897591206968178e-234
928,917,1.0519831100652799e-72
84,83,2.264784727294814e-22
1088,1075,5.236388739943229e-156
416,411,5.076445840428479e-43
248,245,3.48423195750154e-100
576,569,5.377914919902688e-26
736,727,2.1264030582122606e-26
896,885,5.501815951867633e-61
1056,1043,6.086142658002488e-135
1216,1201,6.279463508959736e-266
80,79,4.941507207547613e-22
1184,1169,1.417257127094041e-232
1024,1011,4.5465200615886785e-116
864,853,7.587594211382989e-51
704,695,2.236998457040878e-23
78,77,5.916886911909346e-303
544,537,1.047157137831388e-29
232,229,8.503316787245165e-72
384,379,4.6218015889250305e-30
992,979,3.3678945654709447e-99
76,75,4.736490498682946e-23
832,821,3.171974623344295e-42
528,521,7.299442349578417e-134
1280,1263,0.0
224,221,1.0113213438791718e-21
74,73,3.2290580423808847e-231
960,947,3.4639476729003175e-84
368,363,1.0599570851679694e-25
1248,1231,2.4483373885262802e-301
512,505,8.280241265945335e-35
800,789,4.4940799588890165e-35
1088,1073,9.722799514235484e-154
72,71,1.9720801332558856e-25
1216,1199,5.411417455571119e-263
928,915,6.4542102844305285e-71
640,631,2.0011482787843104e-21
496,489,3.072165770300893e-98
352,347,1.0107408153699492e-22
70,69,6.39232373656856e-176
