n,d,p
0,1,5.904911021966133e-06
1,1,0.049131499786994236
126,125,2.8298652513094793e-13
124,123,5.101327163291816e-13
122,121,9.178069233157962e-13
120,119,1.6479461040837097e-12
118,117,2.9527702911510584e-12
116,115,5.279360866357842e-12
114,113,9.41817148052952e-12
112,111,1.676302183830786e-11
110,109,2.976484910865243e-11
108,107,5.2721049781608465e-11
106,105,9.314397105690654e-11
104,103,1.641250986083486e-10
102,101,2.8840429466423846e-10
100,99,5.053466305213251e-10
98,97,8.828557486380607e-10
96,95,1.5376297508991173e-09
94,93,2.6694467925840044e-09
92,91,4.618922741553555e-09
90,89,7.964323261137326e-09
88,87,1.3682979363677628e-08
86,85,2.341890736365535e-08
84,83,3.992386744960284e-08
82,81,6.777965074260483e-08
80,79,1.1457289962674745e-07
78,77,1.9279212518636567e-07
76,75,3.228670073972568e-07
74,73,5.379968859187843e-07
72,71,8.917519313637167e-07
70,69,1.4699207659839807e-06
68,67,2.408777040845155e-06
66,65,3.92290742274838e-06
64,63,6.347046390915007e-06
63,62,3.7976546662592536e-13
62,61,1.0198040884412476e-05
61,60,1.2292057008694132e-12
60,59,1.6265098048439465e-05
59,58,3.946098545778139e-12
58,57,2.5738726869905414e-05
57,56,1.2557561974038585e-11
56,55,4.0390870529963746e-05
55,54,3.9588715563231406e-11
54,53,6.281993763247498e-05
53,52,1.2355832895304044e-10
52,51,9.67734170100302e-05
51,50,3.814871622542881e-10
50,49,0.0001475553935436044
49,48,1.1642053828193969e-09
48,47,0.00022251342390521725
47,46,3.508415784538779e-09
46,45,0.00033157471483021104
45,44,1.0429470937203715e-08
44,43,0.00048776059950004916
43,42,3.0546400909116945e-08
42,41,0.0007075468935689685
124,121,9.159565059678586e-13
41,40,8.802552044494337e-08
122,119,1.6445155635213916e-12
40,39,0.0010108554938270066
118,115,5.267625693427431e-12
39,38,2.4918710058102467e-07
116,113,9.396520511549571e-12
38,37,0.0014203684730665158
112,109,2.96915366713432e-11
37,36,6.917102818955836e-07
110,107,5.2586514407301666e-11
36,35,0.001959777139281435
106,103,1.6367466952221203e-10
35,34,1.878846091859134e-06
104,101,2.8758263000845227e-10
34,33,0.0026505735115930533
