n,d,p
0,1,6.842277657836021e-49
1,1,0.0009898849247647428
160,159,1.094761195013071e-46
156,155,1.3662658282210158e-40
152,151,1.2832209561123163e-35
148,147,2.412293775968988e-31
144,143,1.3746365616887109e-27
140,139,2.9929686932784008e-24
136,135,2.8855820849532057e-21
132,131,1.3639549208553517e-18
128,127,3.403919999364717e-16
124,123,4.743112711541444e-14
120,119,3.85369283971406e-12
116,115,1.8892070457652183e-10
112,111,5.743075044055711e-09
108,107,1.1066855942883508e-07
104,103,1.3759844663794858e-06
100,99,1.119643656531771e-05
96,95,6.0297904871238366e-05
92,91,0.00021679263009271674
88,87,0.0005236963979806475
84,83,0.0008536426896024013
80,79,0.0009411410652866487
78,77,5.726930929959751e-39
76,75,0.0007021303507552225
74,73,5.083909132854548e-30
72,71,0.0003539608065402771
70,69,4.072575257639506e-23
68,67,0.00012017852320357262
66,65,1.3289088569167168e-17
64,63,2.7335050211165397e-05
62,61,3.499123604923534e-13
60,59,4.134093963853795e-06
58,57,1.091743687023938e-09
56,55,4.4124976539881726e-07
54,53,5.119738356433927e-07
160,157,4.5837651235197666e-43
52,51,5.7541777722782395e-06
152,149,7.424003551534779e-33
50,49,4.2048382174529316e-05
148,145,7.896945212356238e-29
48,47,0.00020473810714421715
140,137,4.1621267812399534e-22
46,45,0.0006665422530482261
136,133,2.8384214661837963e-19
44,43,0.0014594592009310517
128,125,1.8436715692181994e-14
42,41,0.0021574802738403547
124,121,1.9714532389489695e-12
40,39,0.002157291008793423
39,38,3.667105302249207e-36
116,113,4.8381663985593055e-09
38,37,0.001459071272369788
112,109,1.174082609555967e-07
37,36,9.497031735425243e-28
36,35,0.0006680626398344457
35,34,3.3644709323315195e-21
104,101,1.834920252729679e-05
34,33,0.00020460393575408626
100,97,0.00012162660912601854
33,32,5.812941658204239e-16
32,31,0.000577721155856805
156,151,6.254450378888887e-35
31,30,8.950505466660548e-12
92,89,0.001579790011432966
152,147,1.453899395172748e-30
30,29,5.7216535759641925e-06
148,143,9.403520373346657e-27
88,85,0.0031359404529494976
29,28,1.735598117459295e-08
144,139,2.2280735615173302e-23
28,27,0.004205087946928025
136,131,1.1283826560427319e-17
27,26,5.259569454111492e-06
80,77,0.003812046026954604
132,127,2.9156003718122756e-15
26,25,4.780404212482599e-05
128,123,4.175332130550039e-13
76,73,0.0023366080645057293
25,24,0.00028613599233856275
124,119,3.467319496374796e-11
74,71,7.987664513249555e-26
24,23,0.002106590526863347
70,67,1.3490770531681285e-19
116,111,5.334607406766508e-08
23,22,0.003048033872010449
160,153,1.498211838047121e-37
68,65,0.00026811430499563
112,107,1.0398841427322355e-06
156,149,1.0660057868832561e-32
22,21,0.005485959486191819
152,145,1.4392017732960758e-28
108,103,1.3049183393119912e-05
64,61,4.9652414800218653e-05
148,141,5.982300263766022e-25
21,20,0.006669667951683707
104,99,0.00010695649998816164
62,59,1.1880449745117062e-10
144,137,9.71455154112008e-22
20,19,0.006067845933102235
39,37,1.1287078740945384e-31
136,129,2.608385517680654e-16
58,55,1.4555145621615597e-07
96,91,0.0020908210359270084
19,18,0.0030441918298515446
132,125,5.1107140983251675e-14
56,53,3.035095282993121e-06
37,35,4.026218764829459e-24
92,87,0.005063659847184853
128,121,5.655895719956438e-12
18,17,0.0011672823075191995
160,151,2.7667395169736467e-35
124,117,3.68415586893332e-10
88,83,0.008263850892084399
35,33,3.424357800099921e-18
52,49,0.0002132330005240505
120,113,1.4590868189459773e-08
17,16,0.00028537612663366644
152,143,8.887024333307911e-27
84,79,0.00910974364141096
50,47,0.0010445399939763556
116,109,3.605375677637983e-07
33,31,1.8587545599639916e-13
148,139,2.468753263449769e-23
16,15,0.010255000013025675
78,73,9.089940756347202e-30
140,131,1.5142442670765172e-17
31,29,1.0501721748054215e-09
108,101,5.7839176015697975e-05
46,43,0.007497874035358561
76,71,0.003411521325070066
136,127,4.163365451450672e-15
15,14,5.273782931523124e-06
104,97,0.000386842829928759
74,69,1.3933633649526114e-22
44,41,0.011094872693893691
160,149,3.133665197425769e-33
29,27,8.231430580974048e-07
72,67,0.001153361750391533
100,93,0.0017152625831328458
128,119,5.404495674907213e-11
156,145,7.072083932198981e-29
14,13,0.011099115840672087
152,141,3.8132263389860744e-25
