n,d,p
272,271,5.45320459230957e-23
800,797,3.3461259355172353e-75
264,263,6.961555606795535e-45
784,781,2.9256081572651936e-73
256,255,5.5159146583930395e-22
252,251,1.9111865727209426e-100
752,749,2.0768762159459267e-69
248,247,1.5137881344029265e-41
736,733,1.6828839402899943e-67
244,243,2.3581175635704415e-96
240,239,4.610376160937155e-21
236,235,2.728920880058019e-92
704,701,1.0163220322954296e-63
232,231,2.6125107613073594e-38
688,685,7.556308127097521e-62
228,227,2.9493661822083157e-88
224,223,3.1123478006124787e-20
220,219,2.9630351035924673e-84
656,653,3.797847290511412e-58
216,215,3.470551620872502e-35
640,637,2.559773818582062e-56
212,211,2.7526756278137812e-80
208,207,1.6513794359207734e-19
204,203,2.351108265446795e-76
608,605,1.0424698909613623e-52
1008,1003,1.0264378093953174e-99
200,199,3.4195428641689083e-32
992,987,1.1479163717321121e-97
592,589,6.275865519186381e-51
196,195,1.8343816811191794e-72
976,971,1.2639584454768105e-95
192,191,6.664321793641534e-19
944,939,1.4596173458337744e-91
188,187,1.2979894090177208e-68
560,557,2.0036051700139212e-47
928,923,1.5291809185534602e-89
184,183,2.3875286732615273e-29
912,907,1.5739632070668577e-87
544,541,1.0576637880529693e-45
180,179,8.262106592402717e-65
896,891,1.59068388881158e-85
176,175,1.9652042565666184e-18
864,859,1.533928075422232e-81
172,171,4.6877398986555425e-61
512,509,2.5393761944164383e-42
848,843,1.4616386525474424e-79
168,167,1.1158155849035948e-26
832,827,1.3637440489004157e-77
496,493,1.1482120375711447e-40
164,163,2.346182788328868e-57
816,811,1.244922672960431e-75
488,485,5.927270082151783e-95
160,159,4.029326253508187e-18
472,469,6.83027246936482e-91
784,779,9.683844892916907e-72
156,155,1.0235589684808494e-53
464,461,1.9658591748347005e-37
768,763,8.236787652857069e-70
152,151,3.246633200942683e-24
752,747,6.829820561910417e-68
448,445,7.386772665459199e-36
148,147,3.839451270125187e-50
736,731,5.515017033979096e-66
440,437,7.34695549239627e-83
144,143,5.3956779591437856e-18
992,985,2.2711081218677337e-96
424,421,6.789886197994713e-79
704,699,3.306080092993748e-62
140,139,1.2188377261950038e-46
976,969,2.4956258369727903e-94
416,413,8.41209315270224e-33
688,683,2.4483757766389986e-60
960,953,2.698494391185063e-92
136,135,5.353043691634494e-22
944,937,2.8696981097116523e-90
672,667,1.7570925495397478e-58
400,397,2.523338579199386e-31
928,921,2.9997461596750754e-88
132,131,3.214493672311877e-43
656,651,1.2202156708240851e-56
392,389,4.472307440335832e-71
912,905,3.0804580190970076e-86
128,127,4.359163817393339e-18
126,125,7.8518098571422e-98
880,873,3.072235925455753e-82
376,373,3.1438810803553566e-67
624,619,5.298655268800641e-53
124,123,6.891655307992959e-40
864,857,2.9798382781923296e-80
368,365,1.740513926851771e-28
122,121,9.610885208035037e-94
608,603,3.301880408955928e-51
848,841,2.831852167582281e-78
120,119,4.412018289351304e-20
832,825,2.6348920110989072e-76
592,587,1.977376495799243e-49
118,117,1.1027824850972255e-89
352,349,3.9454780748625804e-27
816,809,2.398422876038274e-74
116,115,1.1704800149518306e-36
576,571,1.1356749936683327e-47
344,341,1.1186500426522632e-59
800,793,2.1340080630948206e-72
114,113,1.1810671478205486e-85
112,111,2.197234541654642e-18
992,983,3.130184513376811e-95
110,109,1.1750289252818384e-81
768,761,1.5721635529868435e-68
328,325,5.5514000363202245e-56
544,539,3.2744976642301737e-44
976,967,3.432605180649769e-93
108,107,1.5267846898465677e-33
752,745,1.299240434243835e-66
320,317,1.447133604138256e-24
106,105,1.0802404719066818e-77
528,523,1.6356430322630475e-42
736,729,1.0454557667545396e-64
944,935,3.930215185962951e-89
104,103,1.5299544773972259e-18
928,919,4.099067763996312e-87
720,713,8.181975066029929e-63
512,507,7.756854290924919e-41
102,101,9.123123974522606e-74
304,301,2.2936438373290653e-23
504,499,9.426747807999676e-97
704,697,6.220531167305168e-61
100,99,1.4730788844191432e-30
896,887,4.223796717255101e-83
496,491,3.481700912628078e-39
296,293,8.907887046692062e-49
688,681,4.588384060608357e-59
98,97,7.03196152995212e-70
880,871,4.167798121603169e-81
488,483,1.1492141539011993e-92
96,95,6.444402400673794e-18
472,467,1.312972689464281e-88
848,839,3.821460123036005e-77
94,93,4.910611091513437e-66
656,649,2.267290928108257e-55
280,277,2.795625762330973e-45
464,459,5.865627363254547e-36
832,823,3.545765239540902e-75
92,91,1.0036854799854477e-27
1008,997,2.9895590639169082e-96
640,633,1.5143050614794514e-53
456,451,1.3997140299724195e-84
272,269,3.703991573372563e-21
992,981,3.3235683811805705e-94
90,89,3.0813260014466026e-62
448,443,2.18451939240455e-34
624,617,9.753402236538193e-52
800,791,2.8548115268693574e-71
976,965,3.637171781831812e-92
88,87,1.7446201070950803e-17
960,949,3.9161997287562884e-90
784,775,2.4729235122014814e-69
608,601,6.047217866876759e-50
432,427,7.580792823870791e-33
86,85,1.721196442305812e-58
944,933,4.1464554567050074e-88
256,253,3.6571323896928923e-20
424,419,1.2671767430003595e-76
592,585,3.602238566553663e-48
928,917,4.31477494854741e-86
84,83,4.557719357895177e-25
752,743,1.7211598204196022e-65
416,411,2.4391494266964224e-31
912,901,4.410154506352235e-84
248,245,1.5383865379462882e-38
576,569,2.057319453101699e-46
82,81,8.468499502918024e-55
736,727,1.3800669069042523e-63
408,403,1.0640916852389494e-72
896,885,4.424827906868043e-82
244,241,1.0956536781411244e-91
80,79,3.5149948802143384e-17
236,233,1.246353221825659e-87
864,853,4.202238714838548e-78
392,387,8.151388895974964e-69
704,695,8.149715966644623e-60
78,77,3.6257414943328276e-51
544,537,5.8601167548765546e-43
1008,995,2.607221752981665e-95
232,229,2.570650334872751e-35
848,837,3.9720340494208955e-76
384,379,1.967706871564261e-28
688,679,5.987191385656312e-58
992,979,2.8926910357809384e-93
76,75,1.2813157085629497e-22
832,821,3.675114029111734e-74
528,521,2.9078709927077656e-41
376,371,5.654396631439932e-65
976,963,3.159071383837757e-91
224,221,1.9479446524226927e-18
816,805,3.3258716404441426e-72
74,73,1.3321037302114395e-47
960,947,3.39413289276949e-89
368,363,4.869992816555007e-27
220,217,1.3027872263479242e-79
512,505,1.369379977978508e-39
656,647,2.933032776341817e-54
800,789,2.941359324916946e-70
944,931,3.585734090994645e-87
72,71,4.516299338600729e-17
928,915,3.722745666285424e-85
784,773,2.539850144180553e-68
640,631,1.9498836883129447e-52
496,489,6.100874065221698e-38
212,209,1.184997390570398e-75
352,347,1.088695662913574e-25
912,899,3.7960202613717704e-83
70,69,4.132410420703086e-44
768,757,2.139299658489766e-66
488,481,8.758808939348942e-91
208,205,9.982443504957558e-18
896,883,3.7993046162363313e-81
344,339,1.9519893463228143e-57
480,473,2.5626684234246523e-36
752,741,1.7558988524135235e-64
68,67,2.0260895882696305e-20
880,867,3.729980287849754e-79
608,599,7.709247461550429e-49
472,465,9.9199758800713e-87
336,331,2.179366268132722e-24
736,725,1.4028949661028011e-62
200,197,3.10852782944712e-29
864,851,3.589524988337401e-77
464,457,1.0111036169225952e-34
992,977,2.1512268156141092e-92
66,65,1.0621540010206148e-40
592,583,4.567597621762162e-47
328,323,9.520901106031182e-54
720,709,1.0898138976200039e-60
196,193,7.531834359016049e-68
848,835,3.3836103372810267e-75
456,449,1.0477108715958364e-82
976,961,2.3444155416873033e-90
64,63,7.396424834198444e-17
63,62,5.047626237003363e-94
944,929,2.6493733759667743e-86
440,433,1.0268951498990571e-78
816,803,2.816803364982051e-71
188,185,5.189451294184127e-64
688,677,6.015363839331023e-57
312,307,4.0375119000756636e-50
560,551,1.4086668008359015e-43
62,61,2.212206989803276e-37
928,913,2.7442534950217823e-84
432,425,1.2825228419464837e-31
800,787,2.4835115303815583e-69
184,181,2.0658863866681553e-26
672,661,4.2626384578946025e-55
61,60,6.078262264661445e-90
304,299,6.020599005793145e-22
424,417,9.2901875027759e-75
544,535,7.297843116247202e-42
784,771,2.137663553936253e-67
60,59,1.5853072754804542e-18
896,881,2.7870795853733735e-80
656,645,2.921179950699446e-53
416,409,4.083892477926073e-30
1008,991,1.273908447684568e-93
296,291,1.4677800400304556e-46
768,755,1.7945634303913107e-65
59,58,6.853731430883692e-86
176,173,1.0898409454909498e-16
992,975,1.4076504518496155e-91
