n,d,p
1,1,0.047619047619047616
80,79,0.004535147392290254
78,77,0.004535147392290248
76,75,0.004535147392290246
74,73,0.004535147392290249
72,71,0.004535147392290257
70,69,0.004535147392290251
68,67,0.004535147392290246
66,65,0.004535147392290248
64,63,0.004535147392290253
62,61,0.004535147392290255
60,59,0.004535147392290249
58,57,0.004535147392290252
56,55,0.00453514739229025
54,53,0.004535147392290247
52,51,0.0045351473922902496
50,49,0.004535147392290249
48,47,0.00453514739229025
46,45,0.004535147392290248
44,43,0.0045351473922902496
42,41,0.004535147392290249
40,39,0.004535147392290254
39,38,0.004535147392290248
38,37,0.004535147392290246
37,36,0.004535147392290249
36,35,0.004535147392290257
35,34,0.004535147392290251
34,33,0.004535147392290246
33,32,0.004535147392290248
32,31,0.004535147392290253
31,30,0.004535147392290255
30,29,0.004535147392290249
29,28,0.004535147392290252
28,27,0.00453514739229025
27,26,0.004535147392290247
80,77,0.004535147392290254
26,25,0.009070294784580497
76,73,0.004535147392290246
25,24,0.004535147392290249
74,71,0.004535147392290249
24,23,0.009070294784580508
70,67,0.004535147392290251
23,22,0.004535147392290248
68,65,0.004535147392290246
22,21,0.009070294784580497
64,61,0.004535147392290253
21,20,0.0
62,59,0.004535147392290255
20,19,0.009070294784580503
39,37,0.004535147392290248
58,55,0.004535147392290252
19,18,0.004535147392290246
56,53,0.00453514739229025
37,35,0.004535147392290249
18,17,0.009070294784580504
35,33,0.004535147392290251
52,49,0.0045351473922902496
17,16,0.004535147392290246
50,47,0.004535147392290249
33,31,0.004535147392290248
16,15,0.013605442176870758
78,73,0.004535147392290248
31,29,0.004535147392290255
46,43,0.004535147392290248
76,71,0.004535147392290246
15,14,0.004535147392290249
74,69,0.004535147392290249
44,41,0.0
29,27,0.004535147392290252
72,67,0.004535147392290257
14,13,0.0090702947845805
68,63,0.004535147392290246
27,25,0.004535147392290247
40,37,0.004535147392290256
66,61,0.004535147392290248
13,12,0.0090702947845805
64,59,0.004535147392290253
38,35,0.004535147392290248
25,23,0.004535147392290249
62,57,0.004535147392290255
37,34,0.00453514739229025
12,11,0.013605442176870758
35,32,0.004535147392290254
58,53,0.004535147392290252
23,21,0.0
80,73,0.004535147392290254
34,31,0.004535147392290248
56,51,0.00453514739229025
78,71,0.004535147392290248
11,10,0.0045351473922902496
76,69,0.004535147392290246
54,49,0.004535147392290247
32,29,0.004535147392290255
74,67,0.004535147392290249
21,19,0.0
52,47,0.0045351473922902496
31,28,0.0045351473922902565
72,65,0.004535147392290257
10,9,0.018140589569161
39,35,0.004535147392290244
68,61,0.004535147392290246
29,26,0.004535147392290254
48,43,0.0
19,17,0.004535147392290243
66,59,0.004535147392290248
28,25,0.004535147392290252
37,33,0.004535147392290245
46,41,0.0
64,57,0.004535147392290253
9,8,0.009070294784580503
80,71,0.004535147392290251
62,55,0.004535147392290255
44,39,0.0
35,31,0.004535147392290248
26,23,0.009070294784580499
60,53,0.004535147392290249
17,15,0.004535147392290243
76,67,0.004535147392290243
42,37,0.0
25,22,0.0
58,51,0.004535147392290252
33,29,0.004535147392290244
74,65,0.004535147392290245
8,7,0.018140589569161012
39,34,0.004535147392290251
70,61,0.004535147392290248
31,27,0.004535147392290251
54,47,0.004535147392290247
23,20,0.0
38,33,0.004535147392290243
68,59,0.004535147392290243
15,13,0.004535147392290245
52,45,0.0
37,32,0.004535147392290245
22,19,0.004535147392290244
80,69,0.004535147392290254
