n,d,p
78,71,5.089121254875153e-15
11,10,0.02126836905252607
76,69,3.528460163046276e-13
54,49,0.002257094584789449
32,29,0.001254168050611568
74,67,1.3855086689548657e-11
21,19,0.019271654559645846
52,47,0.00504027888483052
31,28,1.8196605815290155e-05
72,65,3.4952605057097084e-10
10,9,0.02396664412820621
39,35,1.809465335066703e-14
68,61,7.641177198667612e-08
29,26,0.0003393618330525132
48,43,0.013650755313082677
19,17,0.008736483401466754
66,59,7.157755783977763e-07
28,25,0.0011366929432307944
37,33,3.778660006240562e-11
46,41,0.016643701665148676
64,57,5.117795385551862e-06
9,8,0.006966455346503984
80,71,4.523662136773979e-16
62,55,2.843219658639088e-05
44,39,0.016643701665148655
35,31,1.3099160911803019e-08
26,23,0.005309167459307275
60,53,0.000124432672119251
17,15,0.0017665692145259007
76,67,2.9831526833027743e-12
42,37,0.013650755313082692
25,22,0.008736483400372929
58,51,0.0004336290089004382
33,29,1.2406776692228188e-06
74,65,9.131761681747941e-11
8,7,0.022767444362642702
39,34,1.5298206923745117e-13
70,61,2.526266747276245e-08
31,27,4.0139571651374786e-05
54,47,0.002744151837296646
23,20,0.013025505650985777
38,33,0.0050402788920397915
68,59,2.554336377840295e-07
15,13,0.0003128413342472949
52,45,0.00504027888483052
37,32,1.966840977607246e-10
22,19,0.01179152136451022
80,69,3.824550715636182e-15
29,25,0.0005020967471478766
36,31,0.002257098093493268
50,43,0.007545144754867506
64,55,1.1289254526952488e-05
78,67,3.6970666732385595e-13
7,6,0.010043141634810501
76,65,1.5527692172063157e-11
62,53,5.128945266564589e-05
48,41,0.009226399836115057
34,29,0.000820523544935927
27,23,0.002613477940282524
74,63,3.793193313956768e-10
20,17,0.005476421114250737
33,28,2.736788976226792e-06
46,39,0.009226399836115066
72,61,6.081753279934921e-09
13,11,0.004358411557694497
58,49,0.0005272015845052712
32,27,0.0002548064569744142
70,59,6.841972440539936e-08
19,16,0.0026134779702287874
44,37,0.007545144754867499
25,21,0.005904895895113646
56,47,0.0012134004722740112
31,26,5.938778729706393e-05
68,57,5.63456553935344e-07
37,31,6.574868410858397e-10
80,67,1.990727680190115e-14
6,5,0.015134612571651952
76,63,5.190685668946827e-11
35,29,9.659255210174066e-08
64,53,1.6702815177304013e-05
29,24,0.000502096747147874
52,43,0.003406670708719397
23,19,0.005904895895113648
40,33,0.0027441518373350388
74,61,1.027323189196545e-09
17,14,0.0003400818053158721
62,51,6.235717666191726e-05
28,23,0.0010584348133258772
39,32,2.6618880047350716e-12
50,41,0.004182634592372229
72,59,1.3415632235149451e-08
11,9,0.0043570885984381726
60,49,0.00018410214062088343
38,31,0.0012134005533784705
27,22,0.0017664218489656424
70,57,1.2342381657445055e-07
16,13,0.0042883124415098684
37,30,1.4503386200420818e-09
58,47,0.0004336290089004348
21,17,0.0026134779402825245
68,55,8.336520944189649e-07
26,21,0.002414589387267042
31,25,5.938778729706393e-05
36,29,0.00043364615109717886
46,37,0.0034066707087193884
56,45,0.0008201244298768895
66,53,4.251625681489065e-06
76,61,1.1450041916805059e-10
5,4,0.004128298838688242
74,59,1.8532104589430365e-09
64,51,1.6702815177303796e-05
54,43,0.0012512154763506891
44,35,0.002257094584789441
39,31,5.871811775090655e-12
34,27,0.0001253080068183926
29,23,0.0003393618330525184
24,19,0.0024132505838786057
62,49,5.1289452665642854e-05
19,15,0.0005020968934539633
52,41,0.0015443573879528208
33,26,4.0491673157043674e-06
80,63,1.4679525540897696e-13
14,11,0.001797424577893454
37,29,2.1458226366692796e-09
60,47,0.0001244326721192523
23,18,0.0017664218489656313
78,61,7.502870601466492e-12
32,25,4.2857355148607124e-05
50,39,0.0015443573879528167
68,53,8.336520944191816e-07
9,7,0.0009597963470911854
76,59,1.6940705292194715e-10
