n,d,p
40,39,3.2715665100558523e-07
39,38,1.7010876778486614e-07
272,265,9.073877697197082e-08
116,113,4.536938848598542e-08
192,187,2.0728205462128535e-08
38,37,1.7010876778486603e-07
264,257,9.073877697197078e-08
112,109,4.536938848598542e-08
37,36,1.70108767784866e-07
184,179,1.9247619357690783e-08
256,249,9.0738776971971e-08
36,35,2.1547815627085184e-07
320,311,3.02251077605936e-07
248,241,9.073877697197091e-08
176,171,1.3325274939939774e-08
35,34,1.7010876778486621e-07
104,101,3.47620466091921e-07
240,233,9.073877697197093e-08
34,33,1.7010876778486606e-07
304,295,3.022510776059354e-07
168,163,1.4805861044377526e-09
100,97,4.515787618535146e-08
232,225,9.073877697197085e-08
33,32,1.7010876778486595e-07
296,287,3.0225107760593533e-07
32,31,1.1200105099320032e-06
156,151,5.132345974883154e-07
280,271,3.022510776059357e-07
31,30,1.7010876778486621e-07
216,209,9.073877697197083e-08
92,89,3.7754945663162696e-08
152,147,5.132345974883151e-07
272,263,3.022510776059354e-07
30,29,1.7010876778486627e-07
208,201,9.052726467133684e-08
148,143,5.13234597488315e-07
88,85,3.2297928306806385e-07
320,309,8.382232474124034e-07
29,28,1.7010876778486608e-07
144,139,5.132345974883162e-07
200,193,8.904667856689914e-08
256,247,3.02251077605936e-07
312,301,8.382232474124022e-07
28,27,6.840836583254005e-07
304,293,8.382232474124015e-07
248,239,3.022510776059357e-07
192,185,8.312433414914811e-08
136,131,5.132345974883151e-07
27,26,1.6989725548423211e-07
296,285,8.382232474124016e-07
80,77,1.6257364207478133e-06
132,127,5.132345974883149e-07
184,177,6.535730089589509e-08
288,277,8.382232474124036e-07
26,25,1.4919020125216698e-06
232,223,3.022510776059355e-07
128,123,5.132345974883161e-07
280,269,8.382232474124026e-07
76,73,1.3234853431418746e-06
176,169,2.686206218051351e-08
25,24,1.6249432496204338e-07
224,215,3.0203956530530157e-07
124,119,5.132345974883157e-07
272,261,8.382232474124017e-07
74,71,1.3234853431418746e-06
320,307,2.0286144753803585e-06
24,23,5.1490554466332375e-06
304,291,2.028614475380354e-06
70,67,1.3234853431418761e-06
256,245,8.382232474124033e-07
116,111,5.130230851876813e-07
208,199,2.9463663478311273e-07
23,22,1.0105000162787663e-07
160,153,3.028961901228696e-06
296,283,2.028614475380354e-06
68,65,1.323485343141875e-06
248,237,8.382232474124026e-07
112,107,5.115424990832436e-07
156,149,3.0289619012286916e-06
200,191,2.768696015298598e-07
288,275,2.0286144753803585e-06
22,21,1.3527269187045199e-06
240,229,8.380117351117688e-07
152,145,3.0289619012286886e-06
108,103,5.056201546654925e-07
280,267,2.028614475380356e-06
64,61,5.974217809481499e-06
148,141,3.0289619012286886e-06
232,221,8.365311490073302e-07
21,20,0.0
272,259,2.0286144753803543e-06
104,99,4.9061335693551275e-06
62,59,1.3232738308412425e-06
144,137,3.028961901228696e-06
184,175,1.406556799215865e-07
224,213,8.306088045895793e-07
264,251,2.028614475380353e-06
304,289,4.4182804479428845e-06
20,19,1.1105770613237277e-05
296,281,4.418280447942885e-06
256,243,2.028402963079724e-06
216,205,8.128417713363261e-07
176,167,2.6650549879879548e-08
39,37,6.311579928992666e-06
136,129,3.02896190122869e-06
58,55,1.3158709003190524e-06
96,91,4.76473759638133e-06
248,235,2.0269223769752846e-06
19,18,6.311579928992659e-06
208,197,7.684241882031934e-07
132,125,3.028750388928054e-06
320,303,8.84819407242066e-06
56,53,5.71638431500869e-06
37,35,6.311579928992659e-06
240,227,2.021000032557534e-06
92,87,1.7693003948031143e-07
312,295,8.848194072420646e-06
128,121,3.027269802823624e-06
200,189,6.707055053103021e-07
272,257,4.418068935642252e-06
18,17,7.565266212925342e-06
304,287,8.848194072420639e-06
232,219,2.0032329993042793e-06
160,151,1.2195058961502204e-05
124,117,3.02134745840587e-06
88,83,4.436576261947722e-06
35,33,6.3113684166920336e-06
192,181,4.811904839422697e-07
296,279,8.848194072420637e-06
52,49,1.3351026562541962e-05
224,211,1.9588154161711466e-06
120,113,3.003580425152618e-06
256,241,4.410666005120072e-06
17,16,6.309887830587591e-06
288,271,8.847982560120026e-06
152,143,1.2195058961502177e-05
320,301,1.655020298770586e-05
84,79,0.0
184,173,2.0135971020353437e-07
50,47,9.612705283062111e-07
216,203,1.8610967332782547e-06
116,109,2.9591628420194823e-06
248,233,4.392898971866815e-06
33,31,6.3039654861698365e-06
